,HPQ
2021-06-01,26.479097366333008
2021-06-02,26.40815544128418
2021-06-03,26.541170120239258
2021-06-04,27.161916732788086
2021-06-07,27.090967178344727
2021-06-08,27.148082733154297
2021-06-09,26.817882537841797
2021-06-10,26.746484756469727
2021-06-11,26.844655990600586
2021-06-14,26.228870391845703
2021-06-15,26.40736198425293
2021-06-16,25.907590866088867
2021-06-17,25.559541702270508
2021-06-18,25.586313247680664
2021-06-21,26.068233489990234
2021-06-22,26.00575828552246
2021-06-23,26.059309005737305
2021-06-24,26.300264358520508
2021-06-25,26.514450073242188
2021-06-28,26.60369873046875
2021-06-29,26.898202896118164
2021-06-30,26.94282341003418
2021-07-01,27.085613250732422
2021-07-02,27.39797019958496
2021-07-06,26.93389892578125
2021-07-07,27.02314567565918
2021-07-08,26.701866149902344
2021-07-09,26.808961868286133
2021-07-12,26.068233489990234
2021-07-13,25.157941818237305
2021-07-14,25.51491928100586
2021-07-15,25.077621459960938
2021-07-16,24.560007095336914
2021-07-19,24.62247657775879
2021-07-20,25.175790786743164
2021-07-21,25.45244789123535
2021-07-22,24.809890747070312
2021-07-23,25.166866302490234
2021-07-26,25.416748046875
2021-07-27,25.345348358154297
2021-07-28,25.407825469970703
2021-07-29,25.684480667114258
2021-07-30,25.764802932739258
2021-08-02,26.00575828552246
2021-08-03,26.35381507873535
2021-08-04,25.943286895751953
2021-08-05,26.086078643798828
2021-08-06,26.166400909423828
2021-08-09,26.166400909423828
2021-08-10,26.532299041748047
2021-08-11,26.862504959106445
2021-08-12,27.13023567199707
2021-08-13,25.88974380493164
2021-08-16,26.273494720458984
2021-08-17,25.595239639282227
2021-08-18,25.184715270996094
2021-08-19,24.792037963867188
2021-08-20,25.184715270996094
2021-08-23,25.488147735595703
2021-08-24,25.791574478149414
2021-08-25,26.228870391845703
2021-08-26,25.970064163208008
2021-08-27,25.80942726135254
2021-08-30,26.541223526000977
2021-08-31,26.541223526000977
2021-09-01,26.077159881591797
2021-09-02,26.41628074645996
2021-09-03,26.6483211517334
2021-09-07,25.735666275024414
2021-09-08,25.322458267211914
2021-09-09,25.34042739868164
2021-09-10,25.151782989501953
2021-09-13,25.493131637573242
2021-09-14,24.756542205810547
2021-09-15,25.106876373291016
2021-09-16,25.187715530395508
2021-09-17,24.86433982849121
2021-09-20,24.46909523010254
2021-09-21,24.10080337524414
2021-09-22,24.783489227294922
2021-09-23,25.133821487426758
2021-09-24,25.052974700927734
2021-09-27,25.789566040039062
2021-09-28,25.67279052734375
2021-09-29,24.53197479248047
2021-09-30,24.57689094543457
2021-10-01,25.21466827392578
2021-10-04,25.223648071289062
2021-10-05,25.421268463134766
2021-10-06,24.927217483520508
2021-10-07,25.196699142456055
2021-10-08,25.052974700927734
2021-10-11,24.86433982849121
2021-10-12,23.849285125732422
2021-10-13,23.786401748657227
2021-10-14,24.69366455078125
