,CHD
2019-09-18,68.62921142578125
2019-09-19,68.59147644042969
2019-09-20,68.61978149414062
2019-09-23,69.13818359375
2019-09-24,69.6000747680664
2019-09-25,69.20417022705078
2019-09-26,70.35414123535156
2019-09-27,71.31555938720703
2019-09-30,70.91966247558594
2019-10-01,71.22130584716797
2019-10-02,70.55207061767578
2019-10-03,70.82540130615234
2019-10-04,71.68316650390625
2019-10-07,71.68316650390625
2019-10-08,71.32498931884766
2019-10-09,71.56063842773438
2019-10-10,71.28726959228516
2019-10-11,69.86397552490234
2019-10-14,69.4492416381836
2019-10-15,68.61978149414062
2019-10-16,68.79885864257812
2019-10-17,69.52465057373047
2019-10-18,69.64717864990234
2019-10-21,69.46809387207031
2019-10-22,69.9205322265625
2019-10-23,70.95736694335938
2019-10-24,71.40038299560547
2019-10-25,70.58977508544922
2019-10-28,70.31639862060547
2019-10-29,69.42098236083984
2019-10-30,71.07991027832031
2019-10-31,65.92400360107422
2019-11-01,64.83061981201172
2019-11-04,63.30363464355469
2019-11-05,63.40732192993164
2019-11-06,63.63355255126953
2019-11-07,63.33191680908203
2019-11-08,63.69951629638672
2019-11-11,63.65237045288086
2019-11-12,63.19996643066406
2019-11-13,64.44415283203125
2019-11-14,64.32876586914062
2019-11-15,63.70459747314453
2019-11-18,64.32876586914062
2019-11-19,65.16101837158203
2019-11-20,65.89868927001953
2019-11-21,65.21776580810547
2019-11-22,65.10428619384766
2019-11-25,65.05699157714844
2019-11-26,65.72844696044922
2019-11-27,66.39047241210938
2019-11-29,66.42829132080078
2019-12-02,66.02163696289062
2019-12-03,65.36908721923828
2019-12-04,66.33370971679688
2019-12-05,65.95541381835938
2019-12-06,66.43775939941406
2019-12-09,66.53234100341797
2019-12-10,65.58660125732422
2019-12-11,65.6338882446289
2019-12-12,65.77574920654297
2019-12-13,66.19187927246094
2019-12-16,65.17994689941406
2019-12-17,65.00970458984375
2019-12-18,64.88674926757812
2019-12-19,65.71900939941406
2019-12-20,66.43775939941406
2019-12-23,66.34319305419922
2019-12-24,66.53234100341797
2019-12-26,66.55126190185547
2019-12-27,66.86332702636719
2019-12-30,66.53234100341797
2019-12-31,66.53234100341797
2020-01-02,66.22969818115234
2020-01-03,66.45667266845703
2020-01-06,66.71202850341797
2020-01-07,66.06893920898438
2020-01-08,65.47310638427734
2020-01-09,65.96491241455078
2020-01-10,66.29589080810547
2020-01-13,66.9768295288086
2020-01-14,67.30782318115234
2020-01-15,67.94148254394531
2020-01-16,67.79016876220703
2020-01-17,68.0927963256836
2020-01-21,68.56566619873047
2020-01-22,68.30086517333984
2020-01-23,67.12815856933594
2020-01-24,67.44022369384766
2020-01-27,68.4521713256836
2020-01-28,68.11167907714844
2020-01-29,68.75479125976562
2020-01-30,68.83048248291016
2020-01-31,70.19232940673828
2020-02-03,71.03401184082031
2020-02-04,70.68408966064453
2020-02-05,70.23016357421875
2020-02-06,69.94642639160156
2020-02-07,70.44766235351562
2020-02-10,71.45015716552734
2020-02-11,70.72193145751953
2020-02-12,71.57308197021484
2020-02-13,71.8387451171875
2020-02-14,72.51234436035156
2020-02-18,72.2467041015625
2020-02-19,71.8956527709961
2020-02-20,72.39849853515625
2020-02-21,72.68310546875
2020-02-24,71.63951110839844
2020-02-25,70.92796325683594
2020-02-26,70.6148681640625
2020-02-27,68.1766128540039
2020-02-28,65.95654296875
2020-03-02,71.11769104003906
2020-03-03,69.31507873535156
2020-03-04,72.55028533935547
2020-03-05,71.18411254882812
2020-03-06,70.85205078125
2020-03-09,67.11399841308594
2020-03-10,69.0399398803711
2020-03-11,64.9034423828125
2020-03-12,60.15972900390625
2020-03-13,60.04589080810547
2020-03-16,57.332481384277344
2020-03-17,65.1690902709961
2020-03-18,65.82371520996094
2020-03-19,63.28107452392578
2020-03-20,62.379783630371094
2020-03-23,57.74991989135742
2020-03-24,59.5335578918457
2020-03-25,57.20914077758789
2020-03-26,59.675872802734375
2020-03-27,58.79353332519531
2020-03-30,61.48796081542969
2020-03-31,60.890254974365234
2020-04-01,60.52973175048828
2020-04-02,62.873138427734375
2020-04-03,64.1823959350586
2020-04-06,65.33036041259766
2020-04-07,63.575199127197266
2020-04-08,65.09319305419922
2020-04-09,64.88445281982422
2020-04-13,64.60933685302734
2020-04-14,68.44224548339844
2020-04-15,68.3094253540039
2020-04-16,68.92610931396484
2020-04-17,69.77996063232422
2020-04-20,68.945068359375
2020-04-21,66.93373107910156
2020-04-22,67.74967193603516
2020-04-23,67.0381088256836
2020-04-24,67.69271850585938
2020-04-27,67.81609344482422
2020-04-28,65.86165618896484
2020-04-29,64.86548614501953
2020-04-30,66.4024429321289
2020-05-01,67.56940460205078
2020-05-04,68.2430191040039
2020-05-05,69.66613006591797
2020-05-06,68.16708374023438
2020-05-07,68.66993713378906
2020-05-08,69.5902099609375
2020-05-11,70.19742584228516
2020-05-12,69.61868286132812
2020-05-13,69.68508911132812
2020-05-14,69.29484558105469
2020-05-15,70.05632019042969
2020-05-18,69.57088470458984
2020-05-19,68.6380615234375
2020-05-20,68.6761245727539
2020-05-21,67.55294799804688
2020-05-22,68.46673583984375
2020-05-26,66.91522216796875
2020-05-27,69.40906524658203
2020-05-28,70.47513580322266
2020-05-29,71.45555114746094
2020-06-01,71.67446899414062
2020-06-02,72.21702575683594
2020-06-03,71.52217864990234
2020-06-04,70.69406127929688
2020-06-05,70.23717498779297
2020-06-08,71.15095520019531
2020-06-09,71.32229614257812
2020-06-10,71.86482238769531
2020-06-11,70.83684539794922
2020-06-12,69.56134796142578
2020-06-15,70.31330871582031
2020-06-16,71.14144134521484
2020-06-17,71.74109649658203
2020-06-18,74.07312774658203
2020-06-19,73.7875747680664
2020-06-22,73.81615447998047
2020-06-23,73.39730834960938
2020-06-24,72.5787124633789
2020-06-25,73.04513549804688
2020-06-26,72.48355102539062
2020-06-29,73.02609252929688
2020-06-30,73.57817077636719
2020-07-01,74.14928436279297
2020-07-02,74.52051544189453
2020-07-06,74.11119842529297
2020-07-07,75.24390411376953
2020-07-08,76.39564514160156
2020-07-09,77.79488372802734
2020-07-10,78.79432678222656
2020-07-13,78.17562103271484
2020-07-14,80.4124755859375
2020-07-15,80.52668762207031
2020-07-16,80.14595794677734
2020-07-17,80.78369903564453
2020-07-20,80.23162078857422
2020-07-21,80.43150329589844
2020-07-22,81.04069519042969
2020-07-23,82.06869506835938
2020-07-24,81.73553466796875
2020-07-27,82.97295379638672
2020-07-28,83.96287536621094
2020-07-29,85.00990295410156
2020-07-30,85.72379302978516
2020-07-31,91.69192504882812
2020-08-03,88.91250610351562
2020-08-04,91.42540740966797
2020-08-05,91.21598815917969
2020-08-06,90.5401840209961
2020-08-07,90.38789367675781
2020-08-10,90.216552734375
2020-08-11,88.24620819091797
2020-08-12,90.2641372680664
2020-08-13,90.41682434082031
2020-08-14,89.94922637939453
2020-08-17,91.40926361083984
2020-08-18,92.04861450195312
2020-08-19,91.88639831542969
2020-08-20,92.1249771118164
2020-08-21,92.08679962158203
2020-08-24,92.2108383178711
2020-08-25,91.70508575439453
2020-08-26,91.5237808227539
2020-08-27,91.70508575439453
2020-08-28,90.56951141357422
2020-08-31,91.44742584228516
2020-09-01,90.97029876708984
2020-09-02,93.6708755493164
2020-09-03,89.94922637939453
2020-09-04,89.03313446044922
2020-09-08,87.69717407226562
2020-09-09,89.73929595947266
2020-09-10,88.64189147949219
2020-09-11,88.622802734375
2020-09-14,88.47966766357422
2020-09-15,88.10750579833984
2020-09-16,87.7544174194336
2020-09-17,87.84984588623047
2020-09-18,86.1894302368164
2020-09-21,85.54049682617188
2020-09-22,87.40132904052734
2020-09-23,87.42044067382812
2020-09-24,88.3556137084961
2020-09-25,88.69915771484375
2020-09-28,89.18582916259766
2020-09-29,88.60371398925781
2020-09-30,89.42438507080078
2020-10-01,88.84228515625
2020-10-02,87.00054931640625
2020-10-05,86.58067321777344
2020-10-06,85.74090576171875
2020-10-07,86.77151489257812
2020-10-08,86.97193145751953
2020-10-09,88.5178451538086
2020-10-12,89.00450134277344
2020-10-13,90.8271484375
2020-10-14,90.1496353149414
2020-10-15,90.75082397460938
2020-10-16,88.92817687988281
2020-10-19,88.11702728271484
2020-10-20,88.02159881591797
2020-10-21,87.97389221191406
2020-10-22,86.82878112792969
2020-10-23,87.70671844482422
2020-10-26,87.70671844482422
2020-10-27,88.0120849609375
2020-10-28,84.20453643798828
2020-10-29,83.07849884033203
2020-10-30,84.3476791381836
2020-11-02,83.88009643554688
2020-11-03,84.9297866821289
2020-11-04,85.66456604003906
2020-11-05,85.91266632080078
2020-11-06,86.36119079589844
2020-11-09,80.95049285888672
2020-11-10,82.37234497070312
2020-11-11,83.41252136230469
2020-11-12,83.49838256835938
2020-11-13,83.61322021484375
2020-11-16,84.17778778076172
2020-11-17,83.45052337646484
2020-11-18,82.29269409179688
2020-11-19,82.48408508300781
2020-11-20,82.25443267822266
2020-11-23,81.59417724609375
2020-11-24,80.04402160644531
2020-11-25,81.89081573486328
2020-11-27,82.55106353759766
2020-11-30,83.98640441894531
2020-12-01,84.05338287353516
2020-12-02,82.54149627685547
2020-12-03,82.8572769165039
2020-12-04,82.61804962158203
2020-12-07,83.01993560791016
2020-12-08,83.3357162475586
2020-12-09,82.7137451171875
2020-12-10,81.65159606933594
2020-12-11,82.14915466308594
2020-12-14,82.35012817382812
2020-12-15,82.4458236694336
2020-12-16,82.9338150024414
2020-12-17,83.45052337646484
2020-12-18,84.35002136230469
2020-12-21,82.80941772460938
2020-12-22,82.82855987548828
2020-12-23,83.19217681884766
2020-12-24,83.11563110351562
2020-12-28,83.70892333984375
2020-12-29,83.3261489868164
2020-12-30,82.97209930419922
2020-12-31,83.46968841552734
2021-01-04,82.86682891845703
2021-01-05,82.12046813964844
2021-01-06,82.24485778808594
2021-01-07,81.24011993408203
2021-01-08,81.71857452392578
2021-01-11,81.25926971435547
2021-01-12,80.25453186035156
2021-01-13,80.83822631835938
2021-01-14,80.86693572998047
2021-01-15,81.56546783447266
2021-01-19,81.48892974853516
2021-01-20,81.0870132446289
2021-01-21,81.39323425292969
2021-01-22,81.25926971435547
2021-01-25,83.36443328857422
2021-01-26,84.20648956298828
2021-01-27,83.99596405029297
2021-01-28,83.16348266601562
2021-01-29,80.7903823852539
2021-02-01,80.36935424804688
2021-02-02,79.12540435791016
2021-02-03,79.43161010742188
