,ODFL
2024-03-18,208.52638244628906
2024-03-19,211.18064880371094
2024-03-20,216.255126953125
2024-03-21,221.5138397216797
2024-03-22,219.6464080810547
2024-03-25,216.63858032226562
2024-03-26,215.78700256347656
2024-03-27,213.11282348632812
2024-03-28,218.4263458251953
2024-04-01,217.2411346435547
2024-04-02,215.69737243652344
2024-04-03,218.95419311523438
2024-04-04,217.18136596679688
2024-04-05,223.66514587402344
2024-04-08,223.78465270996094
2024-04-09,221.6234130859375
2024-04-10,214.17352294921875
2024-04-11,218.90440368652344
2024-04-12,220.23899841308594
2024-04-15,219.06375122070312
2024-04-16,219.59161376953125
2024-04-17,209.96058654785156
2024-04-18,206.98263549804688
2024-04-19,210.96652221679688
2024-04-22,210.73744201660156
2024-04-23,218.3964385986328
2024-04-24,194.2740478515625
2024-04-25,195.8675994873047
2024-04-26,181.6849822998047
2024-04-29,183.49765014648438
2024-04-30,180.97784423828125
2024-05-01,181.75469970703125
2024-05-02,182.6610107421875
2024-05-03,184.3143310546875
2024-05-06,179.45399475097656
2024-05-07,184.04541015625
2024-05-08,180.96788024902344
2024-05-09,182.4219970703125
2024-05-10,184.29441833496094
2024-05-13,181.28659057617188
2024-05-14,181.2069091796875
2024-05-15,183.17893981933594
2024-05-16,181.4359893798828
