,LNT
2021-04-22,50.324466705322266
2021-04-23,49.96153259277344
2021-04-26,49.78449249267578
2021-04-27,49.147125244140625
2021-04-28,48.952388763427734
2021-04-29,49.38308334350586
2021-04-30,50.0875358581543
2021-05-03,50.0875358581543
2021-05-04,50.4174690246582
2021-05-05,49.58818054199219
2021-05-06,50.4442253112793
2021-05-07,50.5958137512207
2021-05-10,51.6747932434082
2021-05-11,50.80091094970703
2021-05-12,49.766517639160156
2021-05-13,50.72064971923828
2021-05-14,50.6136360168457
2021-05-17,50.36396789550781
2021-05-18,51.3626823425293
2021-05-19,51.45185089111328
2021-05-20,51.50535583496094
2021-05-21,51.81746292114258
2021-05-24,51.77287292480469
2021-05-25,51.3626823425293
2021-05-26,51.28242492675781
2021-05-27,50.60472869873047
2021-05-28,50.9614143371582
2021-06-01,50.81874465942383
2021-06-02,51.3626823425293
2021-06-03,51.835296630859375
2021-06-04,51.81746292114258
2021-06-07,51.80854034423828
2021-06-08,51.3537712097168
2021-06-09,51.986881256103516
2021-06-10,52.20089340209961
2021-06-11,52.23655700683594
2021-06-14,52.22764587402344
2021-06-15,52.38815689086914
2021-06-16,51.33592224121094
2021-06-17,51.826377868652344
2021-06-18,50.23020553588867
2021-06-21,51.121925354003906
2021-06-22,51.032752990722656
2021-06-23,50.60472869873047
2021-06-24,50.31045913696289
2021-06-25,50.94358444213867
2021-06-28,50.92573928833008
2021-06-29,49.7041015625
2021-06-30,49.72193145751953
2021-07-01,50.176700592041016
2021-07-02,50.31045913696289
2021-07-06,50.283714294433594
2021-07-07,50.67605972290039
2021-07-08,50.68498611450195
2021-07-09,50.6136360168457
2021-07-12,50.7741584777832
2021-07-13,50.408546447753906
2021-07-14,51.032752990722656
2021-07-15,51.54994583129883
2021-07-16,52.209815979003906
2021-07-19,51.76395797729492
2021-07-20,51.99580764770508
2021-07-21,51.202178955078125
2021-07-22,51.3270149230957
2021-07-23,52.2633171081543
2021-07-26,52.25440216064453
2021-07-27,53.26203536987305
2021-07-28,52.94101333618164
2021-07-29,52.880863189697266
2021-07-30,52.548675537109375
2021-08-02,53.105316162109375
2021-08-03,53.850502014160156
2021-08-04,53.805606842041016
2021-08-05,54.29042053222656
2021-08-06,54.586700439453125
2021-08-09,54.48794174194336
2021-08-10,54.32633590698242
2021-08-11,54.61363220214844
2021-08-12,54.46101379394531
2021-08-13,54.829105377197266
2021-08-16,55.340850830078125
2021-08-17,55.43064498901367
