,GOOG
2020-07-28,74.74842071533203
2020-07-29,75.82853698730469
2020-07-30,76.29835510253906
2020-07-31,73.88253784179688
2020-08-03,73.45855712890625
2020-08-04,72.98625183105469
2020-08-05,73.41670227050781
2020-08-06,74.73645782470703
2020-08-07,74.45697021484375
2020-08-10,74.53717803955078
2020-08-11,73.75100708007812
2020-08-12,75.06129455566406
2020-08-13,75.65068054199219
2020-08-14,75.1166000366211
2020-08-17,75.62726593017578
2020-08-18,77.65099334716797
2020-08-19,77.09947204589844
2020-08-20,78.80435180664062
2020-08-21,78.73809051513672
2020-08-24,79.12569427490234
2020-08-25,80.12311553955078
2020-08-26,82.32321166992188
2020-08-27,81.42393493652344
2020-08-28,81.9261245727539
2020-08-31,81.41646575927734
2020-09-01,82.73821258544922
2020-09-02,86.10462188720703
2020-09-03,81.79810333251953
2020-09-04,79.2671890258789
2020-09-08,76.34518432617188
2020-09-09,77.56928253173828
2020-09-10,76.32675170898438
2020-09-11,75.76377868652344
2020-09-14,75.69203186035156
2020-09-15,76.79605865478516
2020-09-16,75.77273559570312
2020-09-17,74.50878143310547
2020-09-18,72.73814392089844
2020-09-21,71.30180358886719
2020-09-22,73.01065826416016
2020-09-23,70.50716400146484
2020-09-24,71.1588134765625
2020-09-25,71.98933410644531
2020-09-28,72.96382904052734
2020-09-29,73.20347595214844
2020-09-30,73.21693420410156
2020-10-01,74.23776245117188
2020-10-02,72.65991973876953
2020-10-05,74.03498840332031
2020-10-06,72.41181182861328
2020-10-07,72.75309753417969
2020-10-08,74.03050231933594
2020-10-09,75.48976135253906
2020-10-12,78.17659759521484
2020-10-13,78.30264282226562
2020-10-14,78.123291015625
2020-10-15,77.6773910522461
2020-10-16,78.36891174316406
2020-10-19,76.45578002929688
2020-10-20,77.51797485351562
2020-10-21,79.3802719116211
2020-10-22,80.47734069824219
2020-10-23,81.7562484741211
2020-10-26,79.23778533935547
2020-10-27,79.92581939697266
2020-10-28,75.55950164794922
2020-10-29,78.0814437866211
2020-10-30,80.76032257080078
2020-11-02,81.01042175292969
2020-11-03,82.21509552001953
2020-11-04,87.14337921142578
2020-11-05,87.85283660888672
2020-11-06,87.77212524414062
2020-11-09,87.83440399169922
2020-11-10,86.70794677734375
2020-11-11,87.32173919677734
2020-11-12,87.17875671386719
2020-11-13,88.53289031982422
2020-11-16,88.75011444091797
2020-11-17,88.19062042236328
2020-11-18,87.02630615234375
2020-11-19,87.88023376464844
2020-11-20,86.79762268066406
2020-11-23,86.43244171142578
2020-11-24,88.1273422241211
2020-11-25,88.25439453125
2020-11-27,89.33849334716797
2020-11-30,87.72180938720703
2020-12-01,89.58312225341797
2020-12-02,91.07027435302734
2020-12-03,91.01148986816406
2020-12-04,91.07227325439453
2020-12-07,90.6482925415039
2020-12-08,90.60195922851562
2020-12-09,88.88712310791016
2020-12-10,88.44869995117188
2020-12-11,88.76953887939453
2020-12-14,87.68792724609375
2020-12-15,88.0720443725586
2020-12-16,87.83440399169922
2020-12-17,87.08210754394531
2020-12-18,86.2406234741211
2020-12-21,86.6571273803711
2020-12-22,85.8664779663086
2020-12-23,86.30888366699219
2020-12-24,86.6312255859375
2020-12-28,88.48655700683594
2020-12-29,87.62117004394531
2020-12-30,86.66460418701172
2020-12-31,87.2803955078125
2021-01-04,86.10263061523438
2021-01-05,86.73435974121094
2021-01-06,86.453857421875
2021-01-07,89.04255676269531
2021-01-08,90.0369873046875
2021-01-11,88.01972961425781
2021-01-12,87.01484680175781
2021-01-13,87.40594482421875
2021-01-14,86.6974868774414
2021-01-15,86.49871063232422
2021-01-19,89.222412109375
2021-01-20,94.0072250366211
2021-01-21,94.22394561767578
2021-01-22,94.71218872070312
2021-01-25,94.62998962402344
2021-01-26,95.51879119873047
2021-01-27,91.2117691040039
2021-01-28,92.82197570800781
2021-01-29,91.45838165283203
2021-02-01,94.72712707519531
2021-02-02,96.03045654296875
2021-02-03,103.1329345703125
2021-02-04,102.74931335449219
2021-02-05,104.5244369506836
2021-02-08,104.27084350585938
2021-02-09,103.80252838134766
2021-02-10,104.39390563964844
2021-02-11,104.4193115234375
2021-02-12,104.8288345336914
2021-02-16,105.71515655517578
