,HES
2018-07-02,58.73873519897461
2018-07-03,59.70730972290039
2018-07-05,60.08749008178711
2018-07-06,61.14661407470703
2018-07-09,62.64921188354492
2018-07-10,63.002254486083984
2018-07-11,60.48579025268555
2018-07-12,60.41336441040039
2018-07-13,60.23234558105469
2018-07-16,57.824485778808594
2018-07-17,57.444305419921875
2018-07-18,58.059844970703125
2018-07-19,58.38571548461914
2018-07-20,57.96931457519531
2018-07-23,58.150360107421875
2018-07-24,58.89262008666992
2018-07-25,58.72968292236328
2018-07-26,58.231834411621094
2018-07-27,57.580081939697266
2018-07-30,58.54865264892578
2018-07-31,59.40860366821289
2018-08-01,58.65727996826172
2018-08-02,59.58057403564453
2018-08-03,60.01508712768555
2018-08-06,60.61251449584961
2018-08-07,60.87504196166992
2018-08-08,59.68015670776367
2018-08-09,57.933101654052734
2018-08-10,58.177513122558594
2018-08-13,57.32662582397461
2018-08-14,57.860694885253906
2018-08-15,55.670101165771484
2018-08-16,56.79255294799805
2018-08-17,56.439517974853516
2018-08-20,56.99169921875
2018-08-21,57.389984130859375
2018-08-22,59.01029968261719
2018-08-23,58.43098068237305
2018-08-24,58.96504592895508
2018-08-27,59.87931442260742
2018-08-28,59.54439163208008
2018-08-29,60.83882141113281
2018-08-30,61.707828521728516
2018-08-31,60.95648956298828
2018-09-04,59.453857421875
2018-09-05,59.209449768066406
2018-09-06,57.000755310058594
2018-09-07,56.692970275878906
2018-09-10,56.62055969238281
2018-09-11,58.277095794677734
2018-09-12,58.89262008666992
2018-09-13,59.055564880371094
2018-09-14,59.982418060302734
2018-09-17,60.67302322387695
2018-09-18,62.26322555541992
2018-09-19,63.08103561401367
2018-09-20,63.0446891784668
2018-09-21,64.07150268554688
2018-09-24,65.4618148803711
2018-09-25,65.09835052490234
2018-09-26,64.00790405273438
2018-09-27,65.04380798339844
2018-09-28,65.04380798339844
2018-10-01,67.77896881103516
2018-10-02,66.6612777709961
2018-10-03,67.22466278076172
2018-10-04,65.95249938964844
2018-10-05,65.82528686523438
2018-10-08,64.61673736572266
2018-10-09,65.94339752197266
2018-10-10,61.05467987060547
2018-10-11,59.51899719238281
2018-10-12,60.11872482299805
2018-10-15,59.646209716796875
2018-10-16,59.791595458984375
2018-10-17,58.86473083496094
2018-10-18,58.25590896606445
2018-10-19,57.756141662597656
2018-10-22,57.192752838134766
2018-10-23,55.820648193359375
2018-10-24,52.84922790527344
2018-10-25,53.60343933105469
2018-10-26,52.80379867553711
2018-10-29,51.0318489074707
2018-10-30,51.86783981323242
2018-10-31,52.158634185791016
2018-11-01,52.55845260620117
2018-11-02,51.20451736450195
2018-11-05,53.285404205322266
2018-11-06,53.3035774230957
2018-11-07,55.320858001708984
2018-11-08,53.82152557373047
2018-11-09,53.74884033203125
2018-11-12,52.2131462097168
2018-11-13,50.850120544433594
2018-11-14,50.90463638305664
2018-11-15,51.995059967041016
2018-11-16,52.413063049316406
2018-11-19,51.75880813598633
2018-11-20,49.85057067871094
2018-11-21,51.059112548828125
2018-11-23,48.751060485839844
2018-11-26,48.25126647949219
2018-11-27,48.34214782714844
2018-11-28,49.09635925292969
2018-11-29,49.46891403198242
2018-11-30,48.96914291381836
2018-12-03,51.295372009277344
2018-12-04,49.905086517333984
2018-12-06,48.496620178222656
2018-12-07,47.80602264404297
2018-12-10,46.78828430175781
2018-12-11,47.233558654785156
2018-12-12,47.015464782714844
2018-12-13,47.44253921508789
2018-12-14,46.474693298339844
2018-12-17,45.433807373046875
2018-12-18,43.19681930541992
2018-12-19,42.000709533691406
2018-12-20,39.72718811035156
2018-12-21,37.8828239440918
2018-12-24,33.26273727416992
2018-12-26,36.93324279785156
2018-12-27,37.928462982177734
2018-12-28,36.86933135986328
2018-12-31,36.9788818359375
2019-01-02,38.56760787963867
2019-01-03,38.70456314086914
2019-01-04,41.71766662597656
2019-01-07,43.71726608276367
2019-01-08,44.265098571777344
2019-01-09,45.799034118652344
2019-01-10,47.43341064453125
2019-01-11,46.81254577636719
2019-01-14,46.39253616333008
2019-01-15,47.31471633911133
2019-01-16,46.82166290283203
2019-01-17,47.33298110961914
2019-01-18,48.218650817871094
2019-01-22,47.36036682128906
2019-01-23,46.61164855957031
2019-01-24,46.56600570678711
2019-01-25,48.483421325683594
2019-01-28,47.232547760009766
2019-01-29,47.36036682128906
2019-01-30,49.241268157958984
2019-01-31,49.30519104003906
2019-02-01,50.820858001708984
2019-02-04,50.829986572265625
2019-02-05,49.679534912109375
2019-02-06,50.16346740722656
2019-02-07,47.84428787231445
2019-02-08,47.908199310302734
2019-02-11,48.92170333862305
2019-02-12,50.3460693359375
2019-02-13,51.13129425048828
2019-02-14,52.10828399658203
2019-02-15,52.573944091796875
2019-02-19,52.58306884765625
2019-02-20,53.541778564453125
2019-02-21,52.66524124145508
2019-02-22,52.19044876098633
2019-02-25,52.53740310668945
2019-02-26,52.67436599731445
2019-02-27,53.085235595703125
2019-02-28,52.820465087890625
2019-03-01,54.080482482910156
2019-03-04,54.17179489135742
2019-03-05,54.0074462890625
2019-03-06,51.806968688964844
2019-03-07,51.68827438354492
2019-03-08,50.21824645996094
2019-03-11,51.0673828125
2019-03-12,52.2360954284668
2019-03-13,53.01219940185547
2019-03-14,52.92089080810547
2019-03-15,53.41608428955078
2019-03-18,54.22304916381836
2019-03-19,53.17766571044922
2019-03-20,54.975006103515625
2019-03-21,55.75447082519531
2019-03-22,53.87459182739258
2019-03-25,54.59903335571289
2019-03-26,56.02041244506836
2019-03-27,55.259273529052734
2019-03-28,55.90119934082031
2019-03-29,55.23176574707031
2019-04-01,55.79114532470703
2019-04-02,55.34180450439453
2019-04-03,54.61738204956055
2019-04-04,55.708614349365234
2019-04-05,57.77190017700195
2019-04-08,57.84526062011719
2019-04-09,57.350074768066406
2019-04-10,58.102027893066406
2019-04-11,58.037845611572266
2019-04-12,60.61464309692383
2019-04-15,60.10111999511719
2019-04-16,60.80721664428711
2019-04-17,60.449588775634766
2019-04-18,60.39455795288086
2019-04-22,62.24691390991211
2019-04-23,61.861793518066406
2019-04-24,60.385398864746094
2019-04-25,58.85398864746094
2019-04-26,58.551368713378906
2019-04-29,58.615562438964844
2019-04-30,58.79895782470703
2019-05-01,57.872772216796875
2019-05-02,56.79069519042969
2019-05-03,57.98280715942383
2019-05-06,57.5976676940918
2019-05-07,57.12998962402344
2019-05-08,58.17538833618164
2019-05-09,58.010318756103516
2019-05-10,58.30377197265625
2019-05-13,57.68020248413086
2019-05-14,58.85398864746094
2019-05-15,59.642608642578125
2019-05-16,60.843894958496094
2019-05-17,60.23867416381836
2019-05-20,59.862693786621094
2019-05-21,60.944766998291016
2019-05-22,58.77143859863281
2019-05-23,54.113014221191406
2019-05-24,54.534847259521484
2019-05-28,54.2689094543457
2019-05-29,53.68202590942383
2019-05-30,52.9942512512207
2019-05-31,51.224422454833984
2019-06-03,50.18818664550781
2019-06-04,51.20608139038086
2019-06-05,49.683837890625
2019-06-06,50.91263198852539
2019-06-07,51.85716247558594
2019-06-10,52.52657699584961
2019-06-11,53.18682098388672
2019-06-12,52.00387954711914
2019-06-13,53.471107482910156
2019-06-14,52.725120544433594
2019-06-17,53.28690719604492
2019-06-18,54.069740295410156
2019-06-19,54.26313400268555
2019-06-20,56.473445892333984
2019-06-21,56.36293411254883
2019-06-24,56.722110748291016
2019-06-25,57.27467727661133
2019-06-26,60.212547302246094
2019-06-27,59.208702087402344
2019-06-28,58.54560852050781
2019-07-01,59.190284729003906
2019-07-02,57.68910598754883
2019-07-03,57.48649978637695
2019-07-05,58.02987289428711
2019-07-08,56.83262252807617
2019-07-09,57.145751953125
2019-07-10,58.186431884765625
2019-07-11,57.55097198486328
2019-07-12,58.14038848876953
2019-07-15,57.25625228881836
2019-07-16,56.82341003417969
2019-07-17,54.9354362487793
2019-07-18,55.11962890625
2019-07-19,55.819557189941406
2019-07-22,55.644569396972656
2019-07-23,55.47880554199219
2019-07-24,55.81034851074219
2019-07-25,55.08278274536133
2019-07-26,55.1012077331543
2019-07-29,55.23934555053711
2019-07-30,57.09969711303711
2019-07-31,59.715232849121094
2019-08-01,58.62849807739258
2019-08-02,57.05365753173828
2019-08-05,54.17103576660156
2019-08-06,52.95536804199219
2019-08-07,53.43427658081055
2019-08-08,55.580101013183594
2019-08-09,55.828765869140625
2019-08-12,56.00375747680664
2019-08-13,57.11811447143555
2019-08-14,54.66835403442383
2019-08-15,54.907798767089844
2019-08-16,55.09199523925781
2019-08-19,58.1588020324707
2019-08-20,57.65227127075195
2019-08-21,59.70602798461914
2019-08-22,58.895572662353516
