,AON
2018-09-18,145.04742431640625
2018-09-19,147.28652954101562
2018-09-20,147.21058654785156
2018-09-21,148.45350646972656
2018-09-24,147.21058654785156
2018-09-25,147.8273468017578
2018-09-26,146.71728515625
2018-09-27,147.7039337158203
2018-09-28,145.9013214111328
2018-10-01,146.91650390625
2018-10-02,148.2447509765625
2018-10-03,148.8519744873047
2018-10-04,149.35479736328125
2018-10-05,147.55213928222656
2018-10-08,148.20681762695312
2018-10-09,149.0701446533203
2018-10-10,143.3965606689453
2018-10-11,140.62615966796875
2018-10-12,140.26564025878906
2018-10-15,139.63943481445312
2018-10-16,142.1726531982422
2018-10-17,142.75140380859375
2018-10-18,141.85008239746094
2018-10-19,143.358642578125
2018-10-22,143.68116760253906
2018-10-23,141.85008239746094
2018-10-24,138.80450439453125
2018-10-25,142.2959442138672
2018-10-26,144.50662231445312
2018-10-29,147.23910522460938
2018-10-30,150.56924438476562
2018-10-31,148.55276489257812
2018-11-01,148.09622192382812
2018-11-02,148.55276489257812
2018-11-05,150.45509338378906
2018-11-06,151.79623413085938
2018-11-07,155.08726501464844
2018-11-08,156.7803497314453
2018-11-09,156.5045166015625
2018-11-12,154.9351043701172
2018-11-13,155.32504272460938
2018-11-14,154.10755920410156
2018-11-15,155.09681701660156
2018-11-16,156.0384521484375
2018-11-19,157.49371337890625
2018-11-20,153.77464294433594
2018-11-21,153.20399475097656
2018-11-23,153.37518310546875
2018-11-26,154.09805297851562
2018-11-27,153.59393310546875
2018-11-28,155.98135375976562
2018-11-29,155.68650817871094
