,MET
2023-09-15,63.11465072631836
2023-09-18,63.73955535888672
2023-09-19,63.797218322753906
2023-09-20,63.53764343261719
2023-09-21,62.19172286987305
2023-09-22,61.93214797973633
2023-09-25,62.537818908691406
2023-09-26,60.62466812133789
2023-09-27,60.37471008300781
2023-09-28,60.470848083496094
2023-09-29,60.48046112060547
2023-10-02,59.307579040527344
2023-10-03,57.93280029296875
2023-10-04,57.68284606933594
2023-10-05,57.961647033691406
2023-10-06,58.95186996459961
2023-10-09,59.50946807861328
2023-10-10,59.77865219116211
2023-10-11,60.42277908325195
2023-10-12,60.06706619262695
2023-10-13,59.66328811645508
2023-10-16,60.90346908569336
2023-10-17,61.47068786621094
2023-10-18,60.64390182495117
2023-10-19,59.528690338134766
2023-10-20,57.79821014404297
2023-10-23,56.231163024902344
2023-10-24,56.92334747314453
2023-10-25,56.68301010131836
2023-10-26,57.29829025268555
2023-10-27,56.038883209228516
2023-10-30,57.125244140625
2023-10-31,57.69245910644531
2023-11-01,57.66361618041992
2023-11-02,57.69245910644531
2023-11-03,59.37487030029297
2023-11-06,58.09624099731445
2023-11-07,57.73090744018555
2023-11-08,57.55635452270508
2023-11-09,57.51756286621094
2023-11-10,58.66189956665039
2023-11-13,58.632808685302734
2023-11-14,60.52387237548828
2023-11-15,59.95170593261719
2023-11-16,60.15535354614258
2023-11-17,60.65964126586914
2023-11-20,60.620853424072266
2023-11-21,60.36870574951172
2023-11-22,61.066951751708984
2023-11-24,61.62942123413086
2023-11-27,61.30939483642578
2023-11-28,61.28030014038086
2023-11-29,61.2512092590332
2023-11-30,61.707008361816406
2023-12-01,61.83307647705078
2023-12-04,62.59920120239258
2023-12-05,62.0367317199707
2023-12-06,61.619728088378906
2023-12-07,61.54214096069336
2023-12-08,62.153099060058594
2023-12-11,62.97740936279297
2023-12-12,63.22955322265625
2023-12-13,64.22843933105469
2023-12-14,64.87818145751953
2023-12-15,64.35449981689453
2023-12-18,63.24895477294922
2023-12-19,64.39328002929688
2023-12-20,63.24895477294922
2023-12-21,63.607765197753906
2023-12-22,63.86960983276367
2023-12-26,64.23812103271484
2023-12-27,64.02476501464844
2023-12-28,64.28661346435547
2023-12-29,64.1314468383789
