,INTC
2017-06-01,29.91935920715332
2017-06-02,30.08502197265625
2017-06-05,30.101591110229492
2017-06-06,29.927642822265625
2017-06-07,30.035316467285156
2017-06-08,30.217552185058594
2017-06-09,29.579740524291992
2017-06-12,29.59630584716797
2017-06-13,29.720563888549805
2017-06-14,29.430641174316406
2017-06-15,29.24839973449707
2017-06-16,29.165578842163086
2017-06-19,29.414072036743164
2017-06-20,28.87565040588379
2017-06-21,28.643718719482422
2017-06-22,28.46149444580078
2017-06-23,28.320667266845703
2017-06-26,28.221281051635742
2017-06-27,27.873376846313477
2017-06-28,28.328950881958008
2017-06-29,27.782257080078125
2017-06-30,27.947927474975586
2017-07-03,27.71599578857422
2017-07-05,28.444917678833008
2017-07-06,27.8568058013916
2017-07-07,28.063894271850586
2017-07-10,27.873376846313477
2017-07-11,28.09702491760254
2017-07-12,28.37037467956543
2017-07-13,28.362092971801758
2017-07-14,28.726558685302734
2017-07-17,28.552610397338867
2017-07-18,28.602313995361328
2017-07-19,28.627155303955078
2017-07-20,28.784542083740234
2017-07-21,28.767976760864258
2017-07-24,28.577455520629883
2017-07-25,28.71827507019043
2017-07-26,28.784542083740234
2017-07-27,28.966773986816406
2017-07-28,29.24839973449707
2017-07-31,29.38094139099121
2017-08-01,30.109865188598633
2017-08-02,30.3500919342041
2017-08-03,30.452735900878906
2017-08-04,30.29416847229004
2017-08-07,30.402667999267578
2017-08-08,30.38597869873047
2017-08-09,30.53618812561035
2017-08-10,30.160640716552734
2017-08-11,29.935306549072266
2017-08-14,30.327560424804688
2017-08-15,30.043811798095703
2017-08-16,29.885250091552734
2017-08-17,29.35113525390625
2017-08-18,29.217609405517578
2017-08-21,29.142484664916992
2017-08-22,28.91716766357422
2017-08-23,28.92551040649414
2017-08-24,28.967243194580078
2017-08-25,28.933853149414062
2017-08-28,28.91716766357422
2017-08-29,28.98393440246582
