,VTRS
2017-09-13,28.826183319091797
2017-09-14,28.233505249023438
2017-09-15,27.511993408203125
2017-09-18,27.056758880615234
2017-09-19,26.610103607177734
2017-09-20,26.962270736694336
2017-09-21,26.83342933654785
2017-09-22,26.884965896606445
2017-09-25,27.03957748413086
2017-09-26,26.738943099975586
2017-09-27,27.42609977722168
2017-09-28,26.50703239440918
2017-09-29,26.945093154907227
2017-10-02,27.82121467590332
2017-10-03,27.941465377807617
2017-10-04,32.46809768676758
2017-10-05,32.57117462158203
2017-10-06,32.88898849487305
2017-10-09,32.8546257019043
2017-10-10,33.026424407958984
2017-10-11,32.88898849487305
2017-10-12,32.43373107910156
2017-10-13,32.59695053100586
2017-10-16,32.79449462890625
2017-10-17,33.103721618652344
2017-10-18,32.2190055847168
2017-10-19,32.88898849487305
2017-10-20,33.077945709228516
2017-10-23,33.04359817504883
2017-10-24,33.430118560791016
2017-10-25,33.516014099121094
2017-10-26,33.12948989868164
2017-10-27,32.94051742553711
2017-10-30,32.846046447753906
2017-10-31,30.672910690307617
2017-11-01,31.652103424072266
2017-11-02,30.3551025390625
2017-11-03,30.681499481201172
2017-11-06,32.11593246459961
2017-11-07,31.49749183654785
2017-11-08,31.987098693847656
2017-11-09,32.70861053466797
2017-11-10,32.77732467651367
2017-11-13,32.27054214477539
2017-11-14,32.51105880737305
2017-11-15,32.46809768676758
2017-11-16,32.210418701171875
2017-11-17,32.2877311706543
2017-11-20,31.351484298706055
2017-11-21,31.97850799560547
2017-11-22,32.02145004272461
2017-11-24,32.0987548828125
2017-11-27,31.317119598388672
2017-11-28,31.67787742614746
2017-11-29,31.660696029663086
2017-11-30,31.37724494934082
2017-12-01,32.74296569824219
2017-12-04,32.15887451171875
2017-12-05,32.133121490478516
2017-12-06,31.772361755371094
2017-12-07,32.0987548828125
2017-12-08,33.21538162231445
2017-12-11,33.91971969604492
2017-12-12,33.747928619384766
2017-12-13,33.954071044921875
2017-12-14,34.366371154785156
2017-12-15,34.8044319152832
2017-12-18,35.79221725463867
2017-12-19,35.42287826538086
2017-12-20,35.405696868896484
2017-12-21,36.04130935668945
2017-12-22,36.118614196777344
2017-12-26,36.307586669921875
2017-12-27,36.07566452026367
2017-12-28,35.955413818359375
2017-12-29,36.34194564819336
2018-01-02,37.02910232543945
2018-01-03,37.054874420166016
2018-01-04,38.05983352661133
2018-01-05,38.25739288330078
2018-01-08,38.27457046508789
2018-01-09,38.04266357421875
2018-01-10,38.1285514831543
2018-01-11,40.121299743652344
2018-01-12,40.28450012207031
2018-01-16,40.06117248535156
2018-01-17,40.18142318725586
2018-01-18,39.94950866699219
