,ALLE
2023-10-10,103.91999053955078
2023-10-11,104.41263580322266
2023-10-12,102.4124755859375
2023-10-13,101.95923614501953
2023-10-16,103.71307373046875
2023-10-17,104.03822326660156
2023-10-18,98.59934997558594
2023-10-19,97.11154174804688
2023-10-20,95.57447052001953
2023-10-23,95.44638061523438
2023-10-24,95.68284606933594
2023-10-25,95.10151672363281
2023-10-26,95.82079315185547
2023-10-27,95.9981460571289
2023-10-30,96.27403259277344
2023-10-31,96.91447448730469
2023-11-01,97.46624755859375
2023-11-02,97.67316436767578
2023-11-03,100.3926010131836
2023-11-06,100.23495483398438
2023-11-07,99.9196548461914
2023-11-08,100.56995391845703
2023-11-09,99.6437759399414
2023-11-10,101.9690933227539
2023-11-13,101.7129135131836
2023-11-14,104.37322998046875
2023-11-15,105.10234832763672
2023-11-16,104.39293670654297
2023-11-17,104.78705596923828
2023-11-20,104.18601989746094
2023-11-21,102.6292495727539
2023-11-22,103.13174438476562
2023-11-24,103.4963150024414
2023-11-27,102.619384765625
2023-11-28,102.58982849121094
2023-11-29,103.05291748046875
2023-11-30,104.53087615966797
2023-12-01,107.0926742553711
2023-12-04,105.47676849365234
2023-12-05,103.96924591064453
2023-12-06,103.5849838256836
2023-12-07,103.54557037353516
2023-12-08,108.71841430664062
2023-12-11,108.1666488647461
2023-12-12,108.13709259033203
2023-12-13,109.61504364013672
2023-12-14,116.83732604980469
2023-12-15,116.23399353027344
2023-12-18,116.65928649902344
2023-12-19,118.21210479736328
2023-12-20,119.220947265625
2023-12-21,121.66392517089844
2023-12-22,124.7398910522461
2023-12-26,126.08501434326172
2023-12-27,126.19379425048828
2023-12-28,125.47179412841797
2023-12-29,125.30365753173828
2024-01-02,122.89035034179688
2024-01-03,120.18034362792969
2024-01-04,120.93201446533203
2024-01-05,121.43643951416016
2024-01-08,122.37604522705078
2024-01-09,122.69254302978516
2024-01-10,120.76387786865234
2024-01-11,119.34952545166016
2024-01-12,118.46926879882812
2024-01-16,118.10331726074219
2024-01-17,117.4208755493164
2024-01-18,119.84405517578125
