,SJM
2019-11-18,90.97396087646484
2019-11-19,89.95477294921875
2019-11-20,91.0776138305664
2019-11-21,89.95477294921875
2019-11-22,93.6255111694336
2019-11-25,91.4057846069336
2019-11-26,92.5804214477539
2019-11-27,91.62173461914062
2019-11-29,90.76666259765625
2019-12-02,91.29351806640625
2019-12-03,91.7253646850586
2019-12-04,91.78582763671875
2019-12-05,92.20040130615234
2019-12-06,92.67545318603516
2019-12-09,92.01040649414062
2019-12-10,91.60443878173828
2019-12-11,90.19660949707031
2019-12-12,88.50376892089844
2019-12-13,87.6745834350586
2019-12-16,88.65057373046875
2019-12-17,88.21873474121094
2019-12-18,89.09971618652344
2019-12-19,90.26570129394531
2019-12-20,89.57473754882812
2019-12-23,89.28109741210938
2019-12-24,89.60929870605469
2019-12-26,88.65921783447266
2019-12-27,89.04789733886719
2019-12-30,89.09107208251953
2019-12-31,89.93750762939453
2020-01-02,88.21873474121094
2020-01-03,88.34830474853516
2020-01-06,89.57473754882812
2020-01-07,88.31372833251953
2020-01-08,89.22063446044922
2020-01-09,89.4883804321289
2020-01-10,90.1534194946289
2020-01-13,90.8962173461914
2020-01-14,90.17070007324219
2020-01-15,90.30025482177734
2020-01-16,90.6802978515625
2020-01-17,91.88946533203125
2020-01-21,93.10731506347656
2020-01-22,92.4076919555664
2020-01-23,93.6082534790039
2020-01-24,92.99501037597656
2020-01-27,92.5804214477539
2020-01-28,91.78582763671875
2020-01-29,90.84439086914062
2020-01-30,91.39716339111328
2020-01-31,89.4883804321289
2020-02-03,89.97205352783203
2020-02-04,90.33480072021484
2020-02-05,92.76182556152344
2020-02-06,93.08138275146484
2020-02-07,93.47869873046875
2020-02-10,94.9124526977539
2020-02-11,95.23200988769531
2020-02-12,94.54967498779297
2020-02-13,93.79218292236328
2020-02-14,95.77738189697266
2020-02-18,95.20271301269531
2020-02-19,96.3520278930664
2020-02-20,96.26495361328125
2020-02-21,96.5348892211914
2020-02-24,95.62063598632812
2020-02-25,93.81829071044922
2020-02-26,95.06340789794922
2020-02-27,92.39034271240234
2020-02-28,89.67373657226562
2020-03-02,92.93888854980469
2020-03-03,92.51225280761719
2020-03-04,97.25756072998047
2020-03-05,96.43041229248047
2020-03-06,95.7686767578125
2020-03-09,94.31459045410156
2020-03-10,96.7264404296875
2020-03-11,91.93755340576172
2020-03-12,86.43472290039062
