,CTSH
2022-04-12,82.24636840820312
2022-04-13,82.21771240234375
2022-04-14,80.95664978027344
2022-04-18,80.83245849609375
2022-04-19,81.9120101928711
2022-04-20,82.36102294921875
2022-04-21,82.5616455078125
2022-04-22,79.44718933105469
2022-04-25,80.68914794921875
2022-04-26,78.596923828125
2022-04-27,79.14147186279297
2022-04-28,80.22102355957031
2022-04-29,77.28810119628906
2022-05-02,77.068359375
2022-05-03,77.90907287597656
2022-05-04,80.59362030029297
2022-05-05,70.31401062011719
2022-05-06,72.1482925415039
2022-05-09,72.86480712890625
2022-05-10,71.11651611328125
2022-05-11,69.14848327636719
2022-05-12,70.25668334960938
2022-05-13,70.10382843017578
2022-05-16,69.33955383300781
2022-05-17,71.75659942626953
2022-05-18,67.09447479248047
2022-05-19,67.43971252441406
2022-05-20,67.92884063720703
2022-05-23,68.89746856689453
2022-05-24,68.4754867553711
2022-05-25,68.75361633300781
2022-05-26,69.7605972290039
2022-05-27,71.66909790039062
2022-05-31,71.64031982421875
2022-06-01,71.1416244506836
2022-06-02,71.8896713256836
2022-06-03,70.54700469970703
2022-06-06,70.85391235351562
2022-06-07,71.05530548095703
2022-06-08,70.1154556274414
2022-06-09,67.87129211425781
2022-06-10,67.04653930664062
2022-06-13,65.1092529296875
2022-06-14,65.090087890625
2022-06-15,65.68467712402344
2022-06-16,63.09527587890625
2022-06-17,63.77619552612305
2022-06-21,64.9749984741211
2022-06-22,64.71604919433594
