,EIX
2023-04-14,67.14521026611328
2023-04-17,67.58589935302734
2023-04-18,67.61402893066406
2023-04-19,68.20475006103516
2023-04-20,68.44853973388672
2023-04-21,68.38289642333984
2023-04-24,69.07676696777344
2023-04-25,69.1705322265625
2023-04-26,68.44853973388672
2023-04-27,68.98300170898438
2023-04-28,69.01113891601562
2023-05-01,69.33930206298828
2023-05-02,68.7110824584961
2023-05-03,67.20146179199219
2023-05-04,67.9703369140625
2023-05-05,68.97362518310547
2023-05-08,68.81422424316406
2023-05-09,69.03925323486328
2023-05-10,69.5643539428711
2023-05-11,68.64543914794922
2023-05-12,69.08613586425781
2023-05-15,67.73592376708984
2023-05-16,65.91688537597656
2023-05-17,65.39179229736328
2023-05-18,64.55728912353516
2023-05-19,63.985313415527344
2023-05-22,63.46023178100586
2023-05-23,63.16956329345703
2023-05-24,62.4288215637207
2023-05-25,61.566184997558594
2023-05-26,61.538047790527344
2023-05-30,61.6224479675293
2023-05-31,63.310203552246094
2023-06-01,62.522579193115234
2023-06-02,62.522579193115234
2023-06-05,62.63511276245117
2023-06-06,62.55071258544922
2023-06-07,64.41664123535156
2023-06-08,64.29474639892578
2023-06-09,63.497737884521484
2023-06-12,63.43211364746094
2023-06-13,63.64776611328125
2023-06-14,63.91968536376953
2023-06-15,64.51040649414062
2023-06-16,65.80436706542969
2023-06-20,64.4822769165039
2023-06-21,65.3824234008789
2023-06-22,64.7823257446289
2023-06-23,63.53525161743164
2023-06-26,64.51040649414062
2023-06-27,65.07299041748047
2023-06-28,64.10722351074219
2023-06-29,64.29474639892578
2023-06-30,65.119873046875
2023-07-03,65.47811126708984
2023-07-05,66.55852508544922
2023-07-06,65.80033874511719
2023-07-07,65.26013946533203
2023-07-10,64.73889923095703
2023-07-11,65.7529525756836
2023-07-12,66.77649688720703
2023-07-13,67.24088287353516
2023-07-14,66.78598022460938
2023-07-17,66.23628997802734
2023-07-18,65.74348449707031
2023-07-19,66.94709014892578
2023-07-20,68.37815856933594
2023-07-21,68.61507415771484
2023-07-24,68.74776458740234
2023-07-25,68.60559844970703
2023-07-26,68.33076477050781
2023-07-27,67.15558624267578
2023-07-28,69.14581298828125
2023-07-31,68.19808197021484
2023-08-01,67.32617950439453
2023-08-02,67.80004119873047
2023-08-03,66.66276550292969
2023-08-04,65.62026977539062
2023-08-07,66.14153289794922
2023-08-08,66.81440734863281
2023-08-09,66.60591125488281
2023-08-10,66.29315948486328
2023-08-11,66.84284210205078
2023-08-14,66.11310577392578
2023-08-15,65.22222900390625
2023-08-16,65.54446411132812
2023-08-17,65.01373291015625
2023-08-18,65.43073272705078
2023-08-21,65.40230560302734
2023-08-22,65.90458679199219
2023-08-23,66.26473236083984
2023-08-24,65.92354583740234
2023-08-25,66.27420806884766
2023-08-28,66.07518768310547
2023-08-29,66.49217987060547
2023-08-30,66.27420806884766
2023-08-31,65.25066375732422
2023-09-01,64.83367156982422
2023-09-05,63.715362548828125
2023-09-06,64.18921661376953
2023-09-07,65.08956146240234
2023-09-08,66.1510009765625
2023-09-11,66.21735382080078
2023-09-12,66.61538696289062
2023-09-13,67.04186248779297
2023-09-14,67.78107452392578
2023-09-15,67.8189926147461
2023-09-18,67.49676513671875
2023-09-19,66.52061462402344
2023-09-20,66.10360717773438
2023-09-21,65.29804992675781
2023-09-22,64.51143646240234
2023-09-25,64.10391998291016
2023-09-26,62.360111236572266
2023-09-27,61.88625717163086
2023-09-28,60.95453643798828
2023-09-29,60.66697692871094
2023-10-02,58.510223388671875
2023-10-03,58.692344665527344
2023-10-04,58.692344665527344
2023-10-05,58.17472457885742
2023-10-06,59.48794937133789
2023-10-09,59.9384651184082
2023-10-10,60.64780044555664
2023-10-11,62.23899841308594
2023-10-12,62.20065689086914
2023-10-13,62.96750259399414
2023-10-16,63.40843200683594
2023-10-17,63.61932373046875
2023-10-18,62.88123321533203
2023-10-19,61.34754180908203
2023-10-20,60.11100769042969
2023-10-23,59.27706527709961
2023-10-24,61.40505599975586
2023-10-25,60.67655563354492
2023-10-26,61.05038833618164
2023-10-27,59.372920989990234
2023-10-30,60.10142135620117
2023-10-31,60.446502685546875
2023-11-01,61.318790435791016
2023-11-02,60.992881774902344
2023-11-03,61.39547348022461
2023-11-06,61.232521057128906
2023-11-07,60.88743591308594
2023-11-08,60.31230545043945
2023-11-09,60.55194091796875
2023-11-10,61.07915115356445
2023-11-13,59.67007064819336
2023-11-14,62.98667907714844
2023-11-15,62.56490707397461
2023-11-16,63.255069732666016
2023-11-17,63.19755172729492
2023-11-20,62.96750259399414
2023-11-21,62.81412887573242
2023-11-22,63.168800354003906
2023-11-24,63.120872497558594
2023-11-27,63.52346420288086
2023-11-28,63.73434829711914
2023-11-29,63.05377197265625
2023-11-30,64.21363067626953
2023-12-01,64.6833267211914
2023-12-04,64.57787322998047
2023-12-05,63.95481491088867
2023-12-06,64.37657928466797
2023-12-07,64.5203628540039
2023-12-08,64.6545639038086
2023-12-11,65.21051788330078
2023-12-12,64.81752014160156
2023-12-13,67.85613250732422
2023-12-14,67.4056167602539
2023-12-15,67.14681243896484
2023-12-18,66.86882019042969
2023-12-19,67.10846710205078
2023-12-20,65.91985321044922
2023-12-21,66.01570892333984
2023-12-22,66.60043334960938
2023-12-26,68.67090606689453
2023-12-27,68.92972564697266
2023-12-28,69.38517761230469
2023-12-29,69.27857971191406
2024-01-02,70.10227966308594
2024-01-03,69.36579895019531
2024-01-04,70.0538330078125
2024-01-05,70.3251724243164
2024-01-08,70.9066162109375
2024-01-09,70.76124572753906
2024-01-10,70.09259796142578
2024-01-11,68.9684829711914
2024-01-12,69.15260314941406
2024-01-16,67.99942016601562
2024-01-17,67.15632629394531
2024-01-18,66.47797393798828
2024-01-19,66.17757415771484
2024-01-22,65.55736541748047
2024-01-23,64.93717193603516
2024-01-24,63.16377258300781
2024-01-25,64.96623992919922
2024-01-26,65.4120101928711
2024-01-29,65.60581970214844
2024-01-30,65.2278823852539
2024-01-31,65.39263153076172
2024-02-01,66.17757415771484
2024-02-02,64.80149841308594
2024-02-05,63.532012939453125
2024-02-06,63.11531448364258
2024-02-07,63.41572952270508
2024-02-08,62.71800231933594
2024-02-09,62.69861602783203
2024-02-12,63.35757827758789
2024-02-13,62.41759490966797
2024-02-14,63.01841354370117
2024-02-15,64.40418243408203
2024-02-16,64.25881958007812
2024-02-20,64.48170471191406
2024-02-21,65.84808349609375
2024-02-22,65.33447265625
2024-02-23,66.14849853515625
2024-02-26,64.49139404296875
2024-02-27,65.61551666259766
2024-02-28,65.75117492675781
2024-02-29,65.9159164428711
2024-03-01,64.49139404296875
2024-03-04,65.37325286865234
2024-03-05,65.03407287597656
2024-03-06,66.13880920410156
2024-03-07,66.82684326171875
2024-03-08,67.12725067138672
2024-03-11,67.24354553222656
2024-03-12,67.3113784790039
2024-03-13,67.49549865722656
2024-03-14,66.3326187133789
2024-03-15,66.67179870605469
2024-03-18,66.82684326171875
2024-03-19,67.35014343261719
2024-03-20,67.35014343261719
2024-03-21,67.99942016601562
2024-03-22,67.40827941894531
2024-03-25,67.08849334716797
2024-03-26,66.11943054199219
2024-03-27,68.03096008300781
2024-03-28,69.33472442626953
2024-04-01,69.05044555664062
2024-04-02,68.74655151367188
2024-04-03,68.5210952758789
2024-04-04,68.47208404541016
2024-04-05,69.42294311523438
2024-04-08,69.28571319580078
2024-04-09,69.49156188964844
2024-04-10,67.5604248046875
2024-04-11,67.48200225830078
2024-04-12,67.2761459350586
2024-04-15,66.54094696044922
2024-04-16,65.4920425415039
2024-04-17,66.69779205322266
2024-04-18,66.7860107421875
2024-04-19,68.55050659179688
2024-04-22,69.26610565185547
