,WRB
2020-03-13,22.622304916381836
2020-03-16,19.131114959716797
2020-03-17,21.418306350708008
2020-03-18,20.431751251220703
2020-03-19,19.509626388549805
2020-03-20,19.159297943115234
2020-03-23,17.46000862121582
2020-03-24,19.368688583374023
2020-03-25,19.13513946533203
2020-03-26,20.45993995666504
2020-03-27,20.886775970458984
2020-03-30,21.949838638305664
2020-03-31,21.007577896118164
2020-04-01,20.23041343688965
2020-04-02,20.4075927734375
2020-04-03,19.924381256103516
2020-04-06,21.635746002197266
2020-04-07,21.671995162963867
2020-04-08,22.235736846923828
2020-04-09,23.484033584594727
2020-04-13,22.831695556640625
2020-04-14,23.637048721313477
2020-04-15,22.437076568603516
2020-04-16,22.00621223449707
2020-04-17,22.94847869873047
2020-04-20,22.247817993164062
2020-04-21,21.482736587524414
2020-04-22,20.649198532104492
2020-04-23,20.194171905517578
2020-04-24,20.23041343688965
2020-04-27,21.301528930664062
2020-04-28,21.764606475830078
2020-04-29,22.626325607299805
2020-04-30,21.74447250366211
2020-05-01,20.7176513671875
2020-05-04,20.68946647644043
2020-05-05,20.838455200195312
2020-05-06,20.125722885131836
2020-05-07,20.588794708251953
2020-05-08,20.83040428161621
2020-05-11,20.52838897705078
2020-05-12,19.888137817382812
2020-05-13,18.901586532592773
2020-05-14,19.08681297302246
2020-05-15,19.219697952270508
2020-05-18,20.90690803527832
2020-05-19,20.665306091308594
2020-05-20,21.50689697265625
2020-05-21,22.437076568603516
2020-05-22,22.73103141784668
2020-05-26,23.165922164916992
2020-05-27,23.572622299194336
2020-05-28,23.407520294189453
2020-05-29,23.33504295349121
2020-06-01,23.339067459106445
2020-06-02,24.011537551879883
2020-06-03,24.245088577270508
2020-06-04,24.732322692871094
2020-06-05,25.71485137939453
2020-06-08,26.330947875976562
2020-06-09,25.36452865600586
2020-06-10,24.204822540283203
2020-06-11,22.56995964050293
2020-06-12,22.960554122924805
2020-06-15,23.463899612426758
2020-06-16,23.58067512512207
2020-06-17,23.484033584594727
2020-06-18,23.508193969726562
2020-06-19,23.620939254760742
2020-06-22,23.286033630371094
2020-06-23,23.257789611816406
2020-06-24,22.49113655090332
2020-06-25,22.991479873657227
2020-06-26,22.35798454284668
2020-06-29,22.78972625732422
2020-06-30,23.116565704345703
2020-07-01,23.011655807495117
2020-07-02,22.785694122314453
2020-07-06,23.09638786315918
2020-07-07,22.894638061523438
2020-07-08,22.910781860351562
2020-07-09,22.515350341796875
2020-07-10,23.32638168334961
2020-07-13,23.620939254760742
2020-07-14,24.17373275756836
2020-07-15,24.871793746948242
2020-07-16,25.56178092956543
2020-07-17,25.638446807861328
2020-07-20,25.58195686340332
2020-07-21,25.83213233947754
2020-07-22,25.795814514160156
2020-07-23,26.025806427001953
2020-07-24,25.80791664123535
2020-07-27,25.368101119995117
2020-07-28,25.09775161743164
2020-07-29,25.58195686340332
2020-07-30,25.138105392456055
2020-07-31,24.916173934936523
2020-08-03,25.073545455932617
2020-08-04,24.694259643554688
2020-08-05,24.99284553527832
2020-08-06,25.093717575073242
2020-08-07,25.77967071533203
2020-08-10,25.977386474609375
2020-08-11,25.650554656982422
2020-08-12,25.452838897705078
2020-08-13,25.36003303527832
2020-08-14,25.130037307739258
2020-08-17,24.57724380493164
2020-08-18,24.718467712402344
2020-08-19,24.464256286621094
2020-08-20,24.27461814880371
2020-08-21,24.282686233520508
2020-08-24,24.85968589782715
2020-08-25,24.855653762817383
2020-08-26,24.831443786621094
2020-08-27,25.51336097717285
2020-08-28,25.420560836791992
2020-08-31,25.0372314453125
2020-09-01,25.271255493164062
2020-09-02,25.686866760253906
2020-09-03,25.41248893737793
2020-09-04,25.396345138549805
2020-09-08,25.142141342163086
2020-09-09,25.634410858154297
2020-09-10,25.166351318359375
2020-09-11,25.37213897705078
2020-09-14,25.812793731689453
2020-09-15,25.60661506652832
2020-09-16,25.893648147583008
2020-09-17,25.707679748535156
2020-09-18,25.327667236328125
2020-09-21,24.717214584350586
2020-09-22,24.8384952545166
2020-09-23,24.07846450805664
2020-09-24,24.183570861816406
2020-09-25,24.48273468017578
2020-09-28,24.911264419555664
2020-09-29,24.648487091064453
2020-09-30,24.721256256103516
2020-10-01,24.575716018676758
2020-10-02,24.7697696685791
2020-10-05,25.081058502197266
2020-10-06,24.878921508789062
2020-10-07,24.988073348999023
2020-10-08,25.541929244995117
2020-10-09,25.477243423461914
2020-10-12,26.043228149414062
2020-10-13,25.19829750061035
2020-10-14,24.947647094726562
2020-10-15,25.089139938354492
2020-10-16,25.085102081298828
2020-10-19,24.74551010131836
2020-10-20,25.5580997467041
2020-10-21,26.322175979614258
2020-10-22,26.68602180480957
2020-10-23,26.56878089904785
2020-10-26,25.79257583618164
2020-10-27,24.8384952545166
2020-10-28,24.55146026611328
2020-10-29,24.676788330078125
2020-10-30,24.30485725402832
2020-11-02,25.064889907836914
2020-11-03,25.687463760375977
2020-11-04,25.210420608520508
2020-11-05,25.428730010986328
2020-11-06,25.097227096557617
2020-11-09,27.983734130859375
2020-11-10,28.537586212158203
2020-11-11,28.278852462768555
2020-11-12,27.57946014404297
2020-11-13,27.84223747253418
2020-11-16,28.493114471435547
2020-11-17,28.343534469604492
2020-11-18,27.85841178894043
2020-11-19,27.02965545654297
2020-11-20,26.471750259399414
2020-11-23,26.36664390563965
2020-11-24,26.617294311523438
2020-11-25,26.261533737182617
2020-11-27,26.0391845703125
2020-11-30,26.33026123046875
2020-12-01,27.3045597076416
2020-12-02,27.199447631835938
2020-12-03,27.06603240966797
2020-12-04,27.32477378845215
2020-12-07,26.36259651184082
2020-12-08,26.322175979614258
2020-12-09,26.306007385253906
2020-12-10,26.21302032470703
2020-12-11,26.192806243896484
2020-12-14,25.96599769592285
2020-12-15,26.63833236694336
2020-12-16,26.747690200805664
2020-12-17,27.031204223632812
2020-12-18,26.844894409179688
2020-12-21,26.508726119995117
2020-12-22,26.480377197265625
2020-12-23,26.723388671875
2020-12-24,26.771989822387695
2020-12-28,26.7679386138916
2020-12-29,26.62213134765625
2020-12-30,26.771989822387695
2020-12-31,26.90159797668457
2021-01-04,26.30216407775879
2021-01-05,26.07535171508789
2021-01-06,26.97045135498047
2021-01-07,26.735538482666016
2021-01-08,26.877296447753906
2021-01-11,26.881345748901367
2021-01-12,27.237768173217773
2021-01-13,26.958295822143555
2021-01-14,26.735538482666016
2021-01-15,26.788188934326172
2021-01-19,26.57758140563965
2021-01-20,26.998802185058594
2021-01-21,26.97045135498047
2021-01-22,26.68288230895996
2021-01-25,26.75579261779785
2021-01-26,26.306215286254883
2021-01-27,24.96558952331543
2021-01-28,25.621728897094727
2021-01-29,25.168102264404297
2021-02-01,25.47591781616211
2021-02-02,25.90118980407715
2021-02-03,25.75943374633789
2021-02-04,26.32241439819336
2021-02-05,26.63022804260254
2021-02-08,26.776037216186523
2021-02-09,27.237768173217773
2021-02-10,27.359272003173828
2021-02-11,27.768342971801758
2021-02-12,27.492929458618164
2021-02-16,27.54558563232422
2021-02-17,27.492929458618164
2021-02-18,27.18511390686035
2021-02-19,27.492929458618164
2021-02-22,27.61849021911621
2021-02-23,27.99920654296875
2021-02-24,28.861902236938477
2021-02-25,28.262470245361328
2021-02-26,28.080211639404297
2021-03-01,28.40423011779785
2021-03-02,28.54598617553711
2021-03-03,28.955062866210938
2021-03-04,28.62699317932129
2021-03-05,29.550445556640625
2021-03-08,30.247085571289062
