,ALB
2023-09-13,180.84689331054688
2023-09-14,181.6226043701172
2023-09-15,180.5130615234375
2023-09-18,178.33323669433594
2023-09-19,176.73272705078125
2023-09-20,171.2831573486328
2023-09-21,165.8826904296875
2023-09-22,165.16590881347656
2023-09-25,163.8697967529297
2023-09-26,160.6884307861328
2023-09-27,159.6868896484375
2023-09-28,169.2800750732422
2023-09-29,166.96278381347656
2023-10-02,159.4708709716797
2023-10-03,153.9329376220703
2023-10-04,155.53343200683594
2023-10-05,152.2244110107422
2023-10-06,156.9473876953125
2023-10-09,152.93141174316406
2023-10-10,159.1468505859375
2023-10-11,161.81761169433594
2023-10-12,167.70904541015625
2023-10-13,160.42332458496094
2023-10-16,164.694580078125
2023-10-17,166.4129180908203
2023-10-18,150.12315368652344
2023-10-19,141.9438934326172
2023-10-20,136.17030334472656
2023-10-23,133.81373596191406
2023-10-24,136.72018432617188
2023-10-25,132.87112426757812
2023-10-26,132.7631072998047
2023-10-27,132.00704956054688
2023-10-30,125.1042709350586
2023-10-31,124.48566436767578
2023-11-01,120.73479461669922
2023-11-02,122.36476135253906
2023-11-03,125.66395568847656
2023-11-06,117.29813385009766
2023-11-07,119.90017700195312
2023-11-08,116.85627746582031
2023-11-09,112.52608489990234
2023-11-10,114.86300659179688
2023-11-13,112.12349700927734
2023-11-14,123.05207824707031
2023-11-15,125.40865325927734
2023-11-16,120.38130950927734
2023-11-17,125.0846176147461
2023-11-20,128.00088500976562
2023-11-21,123.84741973876953
2023-11-22,124.2990951538086
2023-11-24,126.537841796875
2023-11-27,118.59423828125
2023-11-28,121.66761016845703
2023-11-29,121.1471939086914
2023-11-30,119.07537841796875
2023-12-01,123.87689208984375
2023-12-04,117.80873107910156
2023-12-05,111.21033477783203
2023-12-06,116.15912628173828
2023-12-07,123.08154296875
2023-12-08,125.67376708984375
2023-12-11,124.25000762939453
2023-12-12,125.62467956542969
2023-12-13,137.52532958984375
2023-12-14,143.6601104736328
2023-12-15,144.81222534179688
2023-12-18,143.6798095703125
2023-12-19,146.65362548828125
2023-12-20,140.35147094726562
2023-12-21,143.22682189941406
2023-12-22,147.7958984375
2023-12-26,150.06076049804688
2023-12-27,147.03770446777344
2023-12-28,147.14598083496094
2023-12-29,142.2716522216797
2024-01-02,144.64480590820312
2024-01-03,138.03738403320312
2024-01-04,133.85232543945312
2024-01-05,133.75387573242188
2024-01-08,134.492431640625
2024-01-09,131.6268768310547
2024-01-10,130.90806579589844
2024-01-11,126.6836166381836
2024-01-12,124.12336730957031
2024-01-16,124.0248794555664
2024-01-17,118.85513305664062
2024-01-18,116.18655395507812
2024-01-19,113.3702621459961
2024-01-22,118.90436553955078
2024-01-23,120.71623229980469
2024-01-24,119.82999420166016
2024-01-25,116.63951873779297
2024-01-26,118.00827026367188
2024-01-29,121.3169174194336
2024-01-30,118.47108459472656
2024-01-31,112.9862289428711
2024-02-01,114.99504089355469
2024-02-02,112.50372314453125
2024-02-05,107.0680923461914
2024-02-06,111.29251861572266
2024-02-07,113.29150390625
2024-02-08,112.58250427246094
2024-02-09,114.01033020019531
2024-02-12,118.25444793701172
2024-02-13,110.48504638671875
2024-02-14,112.64158630371094
2024-02-15,115.70404815673828
2024-02-16,120.71623229980469
2024-02-20,113.06501007080078
2024-02-21,116.73799896240234
2024-02-22,116.37364959716797
2024-02-23,118.80589294433594
2024-02-26,119.66259765625
2024-02-27,126.6245346069336
2024-02-28,130.04150390625
2024-02-29,135.7429962158203
2024-03-01,140.61734008789062
2024-03-04,131.1640625
2024-03-05,107.72785186767578
2024-03-06,117.76209259033203
2024-03-07,120.78518676757812
2024-03-08,116.52135467529297
2024-03-11,122.84323120117188
2024-03-12,122.03575897216797
2024-03-13,123.86732482910156
2024-03-14,118.43412017822266
2024-03-15,120.65679168701172
2024-03-18,123.0671615600586
2024-03-19,119.07623291015625
2024-03-20,122.9387435913086
2024-03-21,123.3437728881836
2024-03-22,119.39234161376953
2024-03-25,116.91282653808594
2024-03-26,117.56481170654297
2024-03-27,127.23592376708984
2024-03-28,130.14024353027344
2024-04-01,127.6113052368164
2024-04-02,124.94409942626953
2024-04-03,127.30506896972656
2024-04-04,119.6491928100586
2024-04-05,121.95088195800781
2024-04-08,130.09083557128906
2024-04-09,127.59154510498047
2024-04-10,126.09989166259766
2024-04-11,128.7275848388672
2024-04-12,121.0914535522461
2024-04-15,119.03671264648438
2024-04-16,112.72431182861328
2024-04-17,113.00091552734375
2024-04-18,110.44236755371094
2024-04-19,110.78811645507812
2024-04-22,110.92640686035156
2024-04-23,112.82308959960938
2024-04-24,113.87022399902344
2024-04-25,113.58374786376953
2024-04-26,115.4606704711914
2024-04-29,124.20320892333984
2024-04-30,118.8490219116211
2024-05-01,117.554931640625
2024-05-02,123.77842712402344
2024-05-03,126.54443359375
2024-05-06,129.19187927246094
2024-05-07,129.95252990722656
2024-05-08,128.87576293945312
2024-05-09,131.92823791503906
2024-05-10,128.04595947265625
2024-05-13,129.9130096435547
2024-05-14,133.81504821777344
2024-05-15,126.02085876464844
2024-05-16,127.62120056152344
2024-05-17,129.5277557373047
2024-05-20,128.5695343017578
2024-05-21,125.10215759277344
2024-05-22,124.94409942626953
2024-05-23,121.45695495605469
2024-05-24,126.04061889648438
2024-05-28,126.20854949951172
2024-05-29,121.94100952148438
2024-05-30,122.27688598632812
2024-05-31,121.10132598876953
2024-06-03,119.42198181152344
2024-06-04,116.87330627441406
2024-06-05,117.20918273925781
2024-06-06,116.74488067626953
2024-06-07,113.54423522949219
2024-06-10,112.67491912841797
2024-06-11,112.58601379394531
2024-06-12,111.28204345703125
2024-06-13,106.91571807861328
2024-06-14,102.6323471069336
2024-06-17,99.77676391601562
2024-06-18,98.69600677490234
2024-06-20,92.99475860595703
2024-06-21,93.85739135742188
2024-06-24,95.58263397216797
2024-06-25,91.98340606689453
2024-06-26,99.42973327636719
2024-06-27,95.4537353515625
2024-06-28,94.71009063720703
2024-07-01,96.58407592773438
2024-07-02,96.2370376586914
2024-07-03,99.2413330078125
2024-07-05,97.51609802246094
2024-07-08,98.30931854248047
2024-07-09,89.70291137695312
2024-07-10,96.0783920288086
2024-07-11,97.1194839477539
2024-07-12,97.04016876220703
2024-07-15,94.68034362792969
2024-07-16,96.88152313232422
2024-07-17,94.2738265991211
2024-07-18,93.01458740234375
2024-07-19,91.30917358398438
2024-07-22,92.77662658691406
2024-07-23,90.70435333251953
2024-07-24,90.10942840576172
2024-07-25,90.2284164428711
2024-07-26,92.0131607055664
2024-07-29,90.89273071289062
2024-07-30,91.72561645507812
