,AIZ
2018-10-09,96.1421890258789
2018-10-10,93.57010650634766
2018-10-11,91.48585510253906
2018-10-12,90.79405212402344
2018-10-15,90.73196411132812
2018-10-16,92.40823364257812
2018-10-17,93.91600799560547
2018-10-18,94.42154693603516
2018-10-19,94.16433715820312
2018-10-22,92.44374084472656
2018-10-23,88.52352142333984
2018-10-24,85.42818450927734
2018-10-25,85.3483657836914
2018-10-26,85.01131439208984
2018-10-29,84.47030639648438
2018-10-30,85.82730865478516
2018-10-31,86.21752166748047
2018-11-01,86.11998748779297
2018-11-02,85.72087097167969
2018-11-05,86.00466918945312
2018-11-06,87.04237365722656
2018-11-07,90.79405212402344
2018-11-08,91.61888885498047
2018-11-09,92.9315414428711
2018-11-12,92.0002670288086
2018-11-13,91.5390625
2018-11-14,88.62995147705078
2018-11-15,88.67431640625
2018-11-16,88.6033706665039
2018-11-19,88.13330078125
2018-11-20,86.05790710449219
2018-11-21,87.03352355957031
2018-11-23,86.86394500732422
2018-11-26,88.52378845214844
2018-11-27,87.43508911132812
2018-11-28,87.62248992919922
2018-11-29,87.27447509765625
2018-11-30,86.77473449707031
2018-12-03,86.82826232910156
2018-12-04,85.14167022705078
2018-12-06,82.30391693115234
2018-12-07,81.2330551147461
2018-12-10,80.89396667480469
2018-12-11,80.32283782958984
2018-12-12,80.66194152832031
2018-12-13,80.28716278076172
2018-12-14,80.54594421386719
2018-12-17,80.31391906738281
2018-12-18,79.26985168457031
2018-12-19,78.88612365722656
2018-12-20,77.37799072265625
2018-12-21,76.11082458496094
2018-12-24,73.75493621826172
2018-12-26,77.69924926757812
2018-12-27,78.45777893066406
2018-12-28,78.67193603515625
2018-12-31,79.81419372558594
2019-01-02,80.40316772460938
2019-01-03,79.11813354492188
2019-01-04,80.7154769897461
2019-01-07,81.03672790527344
2019-01-08,81.1349105834961
2019-01-09,81.63461303710938
2019-01-10,82.54486846923828
2019-01-11,82.61624145507812
2019-01-14,83.52647399902344
2019-01-15,84.32960510253906
2019-01-16,84.24929809570312
2019-01-17,85.17737579345703
2019-01-18,86.00729370117188
2019-01-22,84.78472900390625
2019-01-23,85.29337310791016
2019-01-24,85.9804916381836
2019-01-25,84.98995971679688
2019-01-28,84.28498077392578
2019-01-29,84.72225189208984
2019-01-30,85.29337310791016
2019-01-31,86.01619720458984
2019-02-01,86.71224975585938
2019-02-04,87.45291900634766
2019-02-05,87.52432250976562
2019-02-06,87.37259674072266
2019-02-07,86.8371810913086
2019-02-08,86.67654418945312
2019-02-11,87.01567077636719
2019-02-12,88.11327362060547
2019-02-13,87.37259674072266
2019-02-14,86.67654418945312
2019-02-15,87.6403579711914
2019-02-19,87.6670913696289
2019-02-20,88.193603515625
2019-02-21,87.60462951660156
2019-02-22,88.29601287841797
2019-02-25,88.94244384765625
2019-02-26,89.27466583251953
2019-02-27,90.56759643554688
2019-02-28,92.4710693359375
2019-03-01,93.50363159179688
2019-03-04,93.18037414550781
