,MRK
2021-06-08,64.65841674804688
2021-06-09,66.123046875
2021-06-10,67.99851989746094
2021-06-11,68.1146011352539
2021-06-14,67.96147918701172
2021-06-15,68.18665313720703
2021-06-16,69.00634002685547
2021-06-17,69.56481170654297
2021-06-18,69.00634002685547
2021-06-21,69.13243103027344
2021-06-22,68.62803649902344
2021-06-23,68.07856750488281
2021-06-24,68.7811508178711
2021-06-25,69.53778076171875
2021-06-28,69.23150634765625
2021-06-29,69.54678344726562
2021-06-30,70.05120086669922
2021-07-01,70.24937438964844
2021-07-02,70.798828125
2021-07-06,70.35746002197266
2021-07-07,70.76280212402344
2021-07-08,70.366455078125
2021-07-09,70.24937438964844
2021-07-12,69.85304260253906
2021-07-13,69.9070816040039
2021-07-14,69.91608428955078
2021-07-15,70.1683120727539
2021-07-16,70.2763900756836
2021-07-19,69.40265655517578
2021-07-20,68.6100082397461
2021-07-21,68.80816650390625
2021-07-22,68.93428802490234
2021-07-23,69.84404754638672
2021-07-26,69.57380676269531
2021-07-27,70.12326049804688
2021-07-28,70.55563354492188
2021-07-29,69.29457092285156
2021-07-30,69.24053192138672
2021-08-02,68.6190185546875
2021-08-03,68.8261947631836
2021-08-04,67.98849487304688
2021-08-05,68.08758544921875
2021-08-06,67.95246124267578
2021-08-09,67.84437561035156
2021-08-10,67.7272720336914
2021-08-11,67.74530029296875
2021-08-12,68.49290466308594
2021-08-13,69.10543060302734
2021-08-16,70.19532775878906
2021-08-17,71.00601196289062
2021-08-18,70.06922912597656
2021-08-19,70.6727294921875
2021-08-20,70.87089538574219
2021-08-23,70.60066223144531
2021-08-24,70.00617218017578
2021-08-25,69.4206771850586
2021-08-26,68.97030639648438
2021-08-27,68.72709655761719
2021-08-30,68.90725708007812
2021-08-31,68.71810913085938
2021-09-01,68.6190185546875
2021-09-02,69.4657211303711
2021-09-03,69.59181213378906
2021-09-07,68.43885040283203
2021-09-08,67.88040924072266
2021-09-09,66.49325561523438
2021-09-10,66.15996551513672
2021-09-13,65.91676330566406
2021-09-14,65.53506469726562
2021-09-15,66.1712417602539
2021-09-16,65.40782165527344
2021-09-17,65.14427185058594
2021-09-20,65.37146759033203
2021-09-21,65.40782165527344
2021-09-22,65.47145080566406
2021-09-23,66.38936614990234
2021-09-24,66.89830017089844
2021-09-27,66.67110443115234
2021-09-28,66.6347427368164
2021-09-29,68.24335479736328
2021-09-30,68.26152801513672
2021-10-01,73.97801208496094
2021-10-04,75.52301788330078
2021-10-05,74.15977478027344
2021-10-06,73.30549621582031
2021-10-07,74.4687728881836
2021-10-08,73.27821350097656
2021-10-11,72.64205932617188
