,RSG
2017-06-26,56.50600051879883
2017-06-27,56.43544006347656
2017-06-28,56.65596008300781
2017-06-29,56.053138732910156
2017-06-30,56.49639129638672
2017-07-03,56.54957962036133
2017-07-05,56.70914840698242
2017-07-06,56.3634147644043
2017-07-07,56.815528869628906
2017-07-10,57.03714370727539
2017-07-11,56.94850158691406
2017-07-12,57.1169319152832
2017-07-13,57.010555267333984
2017-07-14,57.13467025756836
2017-07-17,57.303096771240234
2017-07-18,57.4715461730957
2017-07-19,57.38288879394531
2017-07-20,57.42720413208008
2017-07-21,57.53358459472656
2017-07-24,57.1878662109375
2017-07-25,57.60452651977539
2017-07-26,57.4449462890625
2017-07-27,57.97684097290039
2017-07-28,57.00170135498047
2017-07-31,56.93077087402344
2017-08-01,57.249916076660156
2017-08-02,57.232181549072266
2017-08-03,57.43608093261719
2017-08-04,57.38288879394531
2017-08-07,57.35628128051758
2017-08-08,57.12581253051758
2017-08-09,57.07261276245117
2017-08-10,56.80665969848633
2017-08-11,56.7180061340332
2017-08-14,57.267642974853516
2017-08-15,57.232181549072266
2017-08-16,57.31197738647461
2017-08-17,56.85098648071289
2017-08-18,56.63822555541992
2017-08-21,56.86872863769531
2017-08-22,57.48926544189453
2017-08-23,57.06374740600586
2017-08-24,56.877586364746094
2017-08-25,57.06374740600586
2017-08-28,57.081478118896484
2017-08-29,57.5158576965332
2017-08-30,57.69316864013672
2017-08-31,57.83500671386719
2017-09-01,57.790672302246094
2017-09-05,57.29423904418945
2017-09-06,57.15240478515625
2017-09-07,57.27651596069336
2017-09-08,58.03002166748047
2017-09-11,58.756954193115234
2017-09-12,59.155887603759766
2017-09-13,58.80127716064453
2017-09-14,59.253395080566406
2017-09-15,59.29773712158203
2017-09-18,59.342044830322266
2017-09-19,59.2711181640625
2017-09-20,59.031761169433594
2017-09-21,58.64170837402344
2017-09-22,58.73923110961914
2017-09-25,58.9874382019043
2017-09-26,58.881072998046875
2017-09-27,59.031761169433594
2017-09-28,58.81901931762695
2017-09-29,58.86802291870117
2017-10-02,59.3224983215332
2017-10-03,59.30467224121094
2017-10-04,56.41740798950195
2017-10-05,56.76495361328125
2017-10-06,56.301570892333984
2017-10-09,56.69367218017578
2017-10-10,56.47978973388672
2017-10-11,56.42632293701172
2017-10-12,56.73820877075195
2017-10-13,56.43524932861328
2017-10-16,55.92728805541992
2017-10-17,56.13224411010742
2017-10-18,56.16790008544922
2017-10-19,56.72039794921875
2017-10-20,57.20161437988281
2017-10-23,57.15704345703125
