,SYY
2019-01-02,53.10073471069336
2019-01-03,52.850990295410156
2019-01-04,53.26435470581055
2019-01-07,53.22129440307617
2019-01-08,54.06525802612305
2019-01-09,53.806907653808594
2019-01-10,54.478633880615234
2019-01-11,54.28916931152344
2019-01-14,54.21166229248047
2019-01-15,54.013580322265625
2019-01-16,53.608821868896484
2019-01-17,53.60021209716797
2019-01-18,53.979148864746094
2019-01-22,53.961917877197266
2019-01-23,54.15998458862305
2019-01-24,53.84995651245117
2019-01-25,53.4107551574707
2019-01-28,53.626060485839844
2019-01-29,53.43659210205078
2019-01-30,54.168617248535156
2019-01-31,54.98672866821289
2019-02-01,54.745601654052734
2019-02-04,57.389434814453125
2019-02-05,56.27850341796875
2019-02-06,56.261287689208984
2019-02-07,56.07183074951172
2019-02-08,57.0105094909668
2019-02-11,57.08802795410156
2019-02-12,57.647796630859375
2019-02-13,57.29469680786133
2019-02-14,57.32053756713867
2019-02-15,58.16450881958008
2019-02-19,57.70807647705078
2019-02-20,58.00089645385742
2019-02-21,57.90614318847656
2019-02-22,57.9836540222168
2019-02-25,57.92336654663086
2019-02-26,58.05254364013672
2019-02-27,57.794185638427734
2019-02-28,58.1731071472168
2019-03-01,58.19895935058594
2019-03-04,57.794185638427734
2019-03-05,57.33776092529297
2019-03-06,57.07941818237305
2019-03-07,56.726322174072266
2019-03-08,56.648826599121094
2019-03-11,57.23441696166992
2019-03-12,56.9932861328125
2019-03-13,57.22580337524414
2019-03-14,56.941627502441406
2019-03-15,57.070796966552734
2019-03-18,57.23441696166992
2019-03-19,56.9932861328125
2019-03-20,56.33018112182617
2019-03-21,56.760780334472656
2019-03-22,56.4593620300293
2019-03-25,57.0105094909668
2019-03-26,57.07941818237305
2019-03-27,56.528255462646484
2019-03-28,57.06217956542969
2019-03-29,57.49277877807617
2019-04-01,57.51000213623047
2019-04-02,57.12247848510742
2019-04-03,57.243038177490234
2019-04-04,57.918724060058594
2019-04-05,58.16127395629883
2019-04-08,58.247894287109375
2019-04-09,58.00536346435547
2019-04-10,58.40382766723633
2019-04-11,59.01023864746094
2019-04-12,59.78121566772461
2019-04-15,60.31828308105469
