,CDW
2021-12-21,186.58380126953125
2021-12-22,191.96026611328125
2021-12-23,195.7151336669922
2021-12-27,199.82708740234375
2021-12-28,198.45643615722656
2021-12-29,199.64370727539062
2021-12-30,196.88307189941406
2021-12-31,197.66490173339844
2022-01-03,197.8869171142578
2022-01-04,200.89852905273438
2022-01-05,196.4583740234375
2022-01-06,199.04525756835938
2022-01-07,191.48728942871094
2022-01-10,193.2537078857422
2022-01-11,193.45640563964844
2022-01-12,190.54132080078125
2022-01-13,187.3077392578125
2022-01-14,184.98147583007812
2022-01-18,183.34056091308594
2022-01-19,182.81932067871094
2022-01-20,182.41392517089844
2022-01-21,178.24400329589844
2022-01-24,178.7169647216797
2022-01-25,174.5663604736328
2022-01-26,176.1494140625
2022-01-27,175.41580200195312
2022-01-28,178.1184844970703
2022-01-31,182.48150634765625
2022-02-01,182.81932067871094
2022-02-02,187.83863830566406
2022-02-03,186.26528930664062
2022-02-04,185.61856079101562
2022-02-07,184.66293334960938
2022-02-08,187.99305725097656
2022-02-09,183.35984802246094
2022-02-10,176.99880981445312
2022-02-11,172.539306640625
2022-02-14,169.98141479492188
2022-02-15,177.24014282226562
2022-02-16,179.03549194335938
2022-02-17,175.9466552734375
2022-02-18,175.44476318359375
2022-02-22,171.80575561523438
2022-02-23,163.22463989257812
2022-02-24,165.83856201171875
2022-02-25,171.8699188232422
2022-02-28,166.96157836914062
2022-03-01,164.0087890625
2022-03-02,168.47181701660156
2022-03-03,168.7913055419922
2022-03-04,166.0999298095703
2022-03-07,160.16537475585938
2022-03-08,159.52639770507812
2022-03-09,165.548095703125
2022-03-10,164.69615173339844
2022-03-11,164.58001708984375
2022-03-14,161.2883758544922
2022-03-15,166.7873077392578
2022-03-16,167.87158203125
2022-03-17,170.78561401367188
2022-03-18,173.67059326171875
2022-03-21,173.08975219726562
2022-03-22,172.4701385498047
2022-03-23,168.965576171875
2022-03-24,170.23379516601562
2022-03-25,170.5338897705078
2022-03-28,171.6569366455078
2022-03-29,175.19058227539062
2022-03-30,173.1187744140625
2022-03-31,173.18655395507812
2022-04-01,172.13131713867188
2022-04-04,173.12847900390625
2022-04-05,171.17288208007812
2022-04-06,170.75657653808594
2022-04-07,171.6666259765625
2022-04-08,169.95306396484375
2022-04-11,166.71954345703125
2022-04-12,166.17738342285156
2022-04-13,165.51907348632812
2022-04-14,167.4552764892578
2022-04-18,166.2064208984375
2022-04-19,168.3943634033203
2022-04-20,173.2930145263672
2022-04-21,170.78561401367188
2022-04-22,164.13462829589844
2022-04-25,165.20925903320312
2022-04-26,157.96774291992188
2022-04-27,157.34812927246094
2022-04-28,163.2633819580078
2022-04-29,157.97740173339844
2022-05-02,158.8971405029297
2022-05-03,162.3339385986328
2022-05-04,171.46331787109375
2022-05-05,165.7514190673828
2022-05-06,165.1802215576172
2022-05-09,159.5457763671875
2022-05-10,161.239990234375
2022-05-11,159.20697021484375
2022-05-12,161.47230529785156
2022-05-13,163.94102478027344
2022-05-16,163.7764434814453
2022-05-17,167.1455078125
2022-05-18,158.50990295410156
2022-05-19,156.78663635253906
2022-05-20,155.0924530029297
2022-05-23,156.1089630126953
2022-05-24,154.22496032714844
2022-05-25,156.60423278808594
2022-05-26,161.71237182617188
2022-05-27,166.16014099121094
2022-05-31,164.9559326171875
2022-06-01,166.2669677734375
2022-06-02,171.04493713378906
2022-06-03,170.5205078125
2022-06-06,170.65643310546875
2022-06-07,172.95806884765625
2022-06-08,169.30657958984375
2022-06-09,168.5782470703125
