,WEC
2017-02-24,46.83892059326172
2017-02-27,46.8783073425293
2017-02-28,47.45305633544922
2017-03-01,47.17748260498047
2017-03-02,47.34282302856445
2017-03-03,46.68146514892578
2017-03-06,46.5633544921875
2017-03-07,46.68146514892578
2017-03-08,45.9649772644043
2017-03-09,45.75240707397461
2017-03-10,46.232666015625
2017-03-13,46.642086029052734
2017-03-14,46.586971282958984
2017-03-15,47.492427825927734
2017-03-16,47.01214599609375
2017-03-17,47.248348236083984
2017-03-20,47.01214599609375
2017-03-21,47.823116302490234
2017-03-22,47.91758346557617
2017-03-23,47.77585983276367
2017-03-24,48.09081268310547
2017-03-27,48.01205825805664
2017-03-28,48.153785705566406
2017-03-29,47.97270584106445
2017-03-30,47.57902908325195
2017-03-31,47.73649597167969
2017-04-03,47.7128791809082
2017-04-04,47.72074890136719
2017-04-05,48.240394592285156
2017-04-06,47.88609313964844
2017-04-07,47.52390670776367
2017-04-10,47.67351150512695
2017-04-11,47.7443733215332
2017-04-12,48.10655212402344
2017-04-13,47.77585983276367
2017-04-17,47.98057174682617
2017-04-18,47.996307373046875
2017-04-19,47.618385314941406
2017-04-20,47.059383392333984
2017-04-21,47.47666931152344
2017-04-24,47.80735397338867
2017-04-25,47.81521987915039
2017-04-26,47.66563415527344
2017-04-27,47.89396286010742
2017-04-28,47.64988708496094
2017-05-01,47.508155822753906
2017-05-02,47.75225067138672
2017-05-03,47.77585983276367
2017-05-04,48.240394592285156
2017-05-05,48.500213623046875
2017-05-08,48.46872329711914
2017-05-09,47.98057174682617
2017-05-10,47.98851013183594
2017-05-11,48.03616714477539
2017-05-12,48.27439880371094
2017-05-15,48.449100494384766
2017-05-16,48.115570068359375
2017-05-17,48.266448974609375
2017-05-18,48.369686126708984
2017-05-19,48.449100494384766
2017-05-22,48.90174865722656
2017-05-23,48.94145584106445
2017-05-24,49.20352554321289
2017-05-25,49.616458892822266
2017-05-26,49.59263610839844
2017-05-30,49.68793487548828
2017-05-31,49.83881378173828
2017-06-01,50.16438674926758
2017-06-02,50.48203659057617
2017-06-05,50.061161041259766
2017-06-06,49.90233612060547
2017-06-07,50.33116149902344
2017-06-08,50.01351547241211
2017-06-09,50.132633209228516
2017-06-12,50.243812561035156
2017-06-13,50.29145050048828
2017-06-14,50.63291931152344
2017-06-15,50.72821807861328
2017-06-16,51.00615692138672
2017-06-19,50.688514709472656
2017-06-20,50.934688568115234
2017-06-21,50.720272064208984
2017-06-22,50.529701232910156
2017-06-23,50.394683837890625
2017-06-26,50.545570373535156
2017-06-27,49.76734161376953
2017-06-28,49.386165618896484
2017-06-29,48.81439971923828
2017-06-30,48.742919921875
2017-07-03,48.52851486206055
2017-07-05,48.30615997314453
2017-07-06,48.21879959106445
2017-07-07,48.37763595581055
2017-07-10,48.29822540283203
2017-07-11,48.31410217285156
2017-07-12,48.73499298095703
2017-07-13,48.30615997314453
2017-07-14,48.62382125854492
2017-07-17,48.91763687133789
2017-07-18,49.322628021240234
2017-07-19,49.79116439819336
2017-07-20,49.862632751464844
2017-07-21,50.32322311401367
2017-07-24,49.63233947753906
2017-07-25,49.378211975097656
2017-07-26,49.727638244628906
2017-07-27,49.63233947753906
2017-07-28,49.52116775512695
2017-07-31,50.00556564331055
2017-08-01,50.116756439208984
2017-08-02,50.53763198852539
2017-08-03,50.9108772277832
2017-08-04,50.894981384277344
2017-08-07,51.06175231933594
2017-08-08,51.40323257446289
2017-08-09,51.19675064086914
2017-08-10,51.76515579223633
2017-08-11,51.108680725097656
2017-08-14,51.27680969238281
2017-08-15,51.61304473876953
2017-08-16,51.69309997558594
2017-08-17,51.28480911254883
2017-08-18,51.709102630615234
2017-08-21,51.82920837402344
2017-08-22,51.917259216308594
2017-08-23,52.077392578125
2017-08-24,51.97330093383789
2017-08-25,52.117401123046875
2017-08-28,52.34156799316406
2017-08-29,52.245506286621094
2017-08-30,52.12540817260742
2017-08-31,52.21348190307617
