,ESS
2017-08-14,207.45703125
2017-08-15,208.7326202392578
2017-08-16,206.85861206054688
2017-08-17,206.7876739501953
2017-08-18,205.33096313476562
2017-08-21,208.03977966308594
2017-08-22,208.8507843017578
2017-08-23,210.3705291748047
2017-08-24,209.7799072265625
2017-08-25,209.1815185546875
2017-08-28,209.51226806640625
2017-08-29,208.38624572753906
2017-08-30,209.7327117919922
2017-08-31,209.4334716796875
2017-09-01,209.2760009765625
2017-09-05,209.52792358398438
2017-09-06,206.91371154785156
2017-09-07,209.49652099609375
2017-09-08,209.9137725830078
2017-09-11,212.1265106201172
2017-09-12,208.3468017578125
2017-09-13,205.66168212890625
2017-09-14,206.43338012695312
2017-09-15,206.29949951171875
