,UHS
2016-07-08,132.2411346435547
2016-07-11,132.3182830810547
2016-07-12,131.65301513671875
2016-07-13,131.7108917236328
2016-07-14,130.2550811767578
2016-07-15,130.38037109375
2016-07-18,130.929931640625
2016-07-19,131.00704956054688
2016-07-20,131.12274169921875
2016-07-21,132.38577270507812
2016-07-22,133.2727813720703
2016-07-25,131.7397918701172
2016-07-26,133.3209991455078
2016-07-27,125.91639709472656
2016-07-28,125.31864929199219
2016-07-29,124.88478088378906
2016-08-01,123.62177276611328
2016-08-02,120.78720092773438
2016-08-03,123.35179138183594
2016-08-04,123.09148406982422
2016-08-05,122.68653869628906
2016-08-08,122.32979583740234
2016-08-09,121.63561248779297
2016-08-10,121.69346618652344
2016-08-11,122.27197265625
2016-08-12,121.8381118774414
2016-08-15,121.78023529052734
2016-08-16,118.28044128417969
2016-08-17,116.50640869140625
2016-08-18,116.56426239013672
2016-08-19,116.94027709960938
2016-08-22,117.21987915039062
2016-08-23,117.12346649169922
2016-08-24,116.03397369384766
2016-08-25,115.81226348876953
2016-08-26,115.16626739501953
2016-08-29,116.8438491821289
2016-08-30,116.78598022460938
2016-08-31,116.30352783203125
2016-09-01,114.65348052978516
2016-09-02,116.46753692626953
2016-09-06,115.47368621826172
2016-09-07,117.91494750976562
2016-09-08,117.2877426147461
2016-09-09,115.89823150634766
2016-09-12,118.10794830322266
2016-09-13,117.13334655761719
2016-09-14,116.32281494140625
2016-09-15,117.7219467163086
2016-09-16,119.17901611328125
2016-09-19,118.94741821289062
2016-09-20,118.20442962646484
2016-09-21,118.49392700195312
2016-09-22,119.89305114746094
2016-09-23,118.6193618774414
2016-09-26,116.8245620727539
2016-09-27,117.45177459716797
2016-09-28,118.6483154296875
2016-09-29,117.8956527709961
2016-09-30,118.8991928100586
2016-10-03,116.53510284423828
2016-10-04,116.66053009033203
2016-10-05,115.86929321289062
2016-10-06,115.78244018554688
2016-10-07,115.94647216796875
2016-10-10,118.08861541748047
2016-10-11,116.8438491821289
