,CHRW
2019-09-16,74.67095947265625
2019-09-17,75.51142883300781
2019-09-18,75.98421478271484
2019-09-19,74.9423599243164
2019-09-20,73.97930908203125
2019-09-23,73.44525146484375
2019-09-24,72.8236312866211
2019-09-25,74.29447937011719
2019-09-26,73.620361328125
2019-09-27,73.35771179199219
2019-09-30,74.22445678710938
2019-10-01,73.16510009765625
2019-10-02,71.96566009521484
2019-10-03,71.87812805175781
2019-10-04,72.91995239257812
2019-10-07,73.04252624511719
2019-10-08,71.92190551757812
2019-10-09,72.68359375
2019-10-10,73.83047485351562
2019-10-11,74.63593292236328
2019-10-14,74.69722747802734
2019-10-15,74.67095947265625
2019-10-16,75.29256439208984
2019-10-17,75.87039184570312
2019-10-18,75.78280639648438
2019-10-21,76.00169372558594
2019-10-22,77.7876968383789
2019-10-23,77.95405578613281
2019-10-24,76.76337432861328
2019-10-25,78.8908462524414
2019-10-28,79.08345794677734
2019-10-29,79.2497787475586
2019-10-30,67.483154296875
2019-10-31,66.2224349975586
2019-11-01,65.39946746826172
2019-11-04,66.1261215209961
2019-11-05,66.83527374267578
2019-11-06,68.82264709472656
2019-11-07,69.28667449951172
2019-11-08,68.34112548828125
2019-11-11,67.29053497314453
2019-11-12,66.09986877441406
2019-11-13,65.33818054199219
2019-11-14,65.37319946289062
2019-11-15,65.41697692871094
2019-11-18,65.83721923828125
2019-11-19,66.45006561279297
2019-11-20,66.15237426757812
2019-11-21,65.31192016601562
2019-11-22,66.17864227294922
2019-11-25,66.7214584350586
2019-11-26,67.45689392089844
2019-11-27,68.0697250366211
2019-11-29,67.28179168701172
2019-12-02,68.0697250366211
2019-12-03,66.55510711669922
2019-12-04,66.87904357910156
2019-12-05,66.80900573730469
2019-12-06,66.55510711669922
2019-12-09,66.77397918701172
2019-12-10,66.36249542236328
2019-12-11,66.44129943847656
2019-12-12,68.2710952758789
2019-12-13,67.4603271484375
2019-12-16,67.90097045898438
2019-12-17,68.53546142578125
2019-12-18,68.51783752441406
2019-12-19,67.61895751953125
2019-12-20,67.68064880371094
2019-12-23,67.68943786621094
2019-12-24,68.332763671875
2019-12-26,68.65882873535156
2019-12-27,68.67646026611328
2019-12-30,68.332763671875
2019-12-31,68.91438293457031
2020-01-02,68.58834838867188
2020-01-03,68.509033203125
2020-01-06,67.42505645751953
2020-01-07,69.02017974853516
2020-01-08,69.44316101074219
2020-01-09,69.99835205078125
2020-01-10,70.6064224243164
2020-01-13,70.90604400634766
2020-01-14,72.04289245605469
2020-01-15,73.5850830078125
2020-01-16,74.11382293701172
2020-01-17,71.15279388427734
2020-01-21,70.67692565917969
2020-01-22,70.77387237548828
2020-01-23,70.32441711425781
2020-01-24,70.1657943725586
2020-01-27,69.15234375
2020-01-28,68.63239288330078
