,AWK
2023-02-10,145.65823364257812
2023-02-13,146.87811279296875
2023-02-14,144.5545196533203
2023-02-15,144.49644470214844
2023-02-16,142.76348876953125
2023-02-17,144.84498596191406
2023-02-21,142.95709228515625
2023-02-22,142.00831604003906
2023-02-23,139.27813720703125
2023-02-24,137.05136108398438
2023-02-27,135.3280792236328
2023-02-28,135.90895080566406
2023-03-01,133.7402801513672
2023-03-02,134.14691162109375
2023-03-03,135.25062561035156
2023-03-06,135.46360778808594
2023-03-07,132.76248168945312
2023-03-08,133.8371124267578
2023-03-09,131.54258728027344
2023-03-10,129.393310546875
2023-03-13,132.0266876220703
2023-03-14,133.2852783203125
2023-03-15,136.1510009765625
2023-03-16,138.1066436767578
2023-03-17,137.2934112548828
2023-03-20,138.01951599121094
2023-03-21,134.43736267089844
2023-03-22,132.03634643554688
2023-03-23,132.3655242919922
2023-03-24,137.32244873046875
2023-03-27,137.1675567626953
2023-03-28,136.7222137451172
2023-03-29,139.5491943359375
2023-03-30,141.2434844970703
2023-03-31,141.82437133789062
2023-04-03,140.8077850341797
2023-04-04,142.44398498535156
2023-04-05,145.42587280273438
2023-04-06,147.04269409179688
2023-04-10,147.0523681640625
2023-04-11,147.2169647216797
2023-04-12,146.01644897460938
2023-04-13,147.1588897705078
2023-04-14,144.93211364746094
2023-04-17,145.06765747070312
2023-04-18,143.3831024169922
2023-04-19,144.26406860351562
2023-04-20,144.85467529296875
2023-04-21,146.1229248046875
2023-04-24,146.68446350097656
2023-04-25,147.56549072265625
2023-04-26,144.3028106689453
2023-04-27,143.73162841796875
2023-04-28,143.52830505371094
2023-05-01,141.92117309570312
2023-05-02,142.06639099121094
2023-05-03,141.82437133789062
2023-05-04,143.11199951171875
2023-05-05,143.70257568359375
2023-05-08,143.4573974609375
2023-05-09,143.8562774658203
2023-05-10,145.66566467285156
2023-05-11,145.3543701171875
2023-05-12,145.69483947753906
2023-05-15,143.5449676513672
2023-05-16,140.76278686523438
2023-05-17,139.7024383544922
2023-05-18,137.87359619140625
2023-05-19,137.60121154785156
2023-05-22,139.66354370117188
2023-05-23,139.595458984375
2023-05-24,139.2744140625
2023-05-25,138.5740203857422
2023-05-26,139.5565643310547
2023-05-30,139.30360412597656
2023-05-31,140.51959228515625
2023-06-01,139.66354370117188
