,MCO
2018-12-04,144.64169311523438
2018-12-06,142.16537475585938
2018-12-07,138.31326293945312
2018-12-10,138.28482055664062
2018-12-11,137.96224975585938
2018-12-12,140.8275604248047
2018-12-13,141.32093811035156
2018-12-14,138.066650390625
2018-12-17,134.14813232421875
2018-12-18,134.9166717529297
2018-12-19,132.35494995117188
2018-12-20,129.66993713378906
2018-12-21,125.78939056396484
2018-12-24,122.72481536865234
2018-12-26,129.6509246826172
2018-12-27,132.7819061279297
2018-12-28,132.21266174316406
2018-12-31,132.86729431152344
2019-01-02,133.63583374023438
2019-01-03,129.20501708984375
2019-01-04,135.94134521484375
2019-01-07,136.44418334960938
2019-01-08,138.42715454101562
2019-01-09,138.89207458496094
2019-01-10,141.4063262939453
2019-01-11,141.33987426757812
2019-01-14,141.5771026611328
2019-01-15,145.38174438476562
2019-01-16,147.4405975341797
2019-01-17,149.77456665039062
2019-01-18,151.23568725585938
2019-01-22,147.51649475097656
2019-01-23,146.8807830810547
2019-01-24,146.22613525390625
2019-01-25,148.51271057128906
2019-01-28,147.89599609375
2019-01-29,147.19386291503906
2019-01-30,148.4557342529297
2019-01-31,150.3912811279297
2019-02-01,151.99468994140625
2019-02-04,152.440673828125
2019-02-05,154.43304443359375
2019-02-06,153.4179229736328
2019-02-07,152.5260467529297
2019-02-08,152.78224182128906
2019-02-11,153.5127716064453
2019-02-12,154.79360961914062
2019-02-13,156.1788330078125
2019-02-14,155.3439483642578
2019-02-15,160.59068298339844
2019-02-19,159.3572998046875
2019-02-20,160.7804412841797
2019-02-21,161.86209106445312
2019-02-22,164.3361358642578
2019-02-25,164.14581298828125
2019-02-26,164.1363067626953
2019-02-27,165.19256591796875
2019-02-28,164.7357940673828
2019-03-01,167.1623077392578
2019-03-04,163.89845275878906
2019-03-05,162.77554321289062
2019-03-06,161.9096221923828
2019-03-07,161.15786743164062
2019-03-08,161.70980834960938
2019-03-11,163.23228454589844
2019-03-12,164.07920837402344
2019-03-13,165.15444946289062
2019-03-14,166.50567626953125
2019-03-15,168.13287353515625
2019-03-18,169.3509063720703
2019-03-19,169.97894287109375
2019-03-20,168.66575622558594
2019-03-21,173.17623901367188
2019-03-22,169.27479553222656
2019-03-25,168.81802368164062
2019-03-26,169.29383850097656
2019-03-27,169.22718811035156
2019-03-28,170.7021026611328
2019-03-29,172.3197784423828
2019-04-01,175.54563903808594
2019-04-02,176.0880126953125
2019-04-03,177.2012939453125
2019-04-04,177.7818145751953
2019-04-05,178.17201232910156
2019-04-08,178.1053466796875
2019-04-09,177.62005615234375
2019-04-10,176.30685424804688
2019-04-11,176.27830505371094
2019-04-12,178.04824829101562
2019-04-15,180.04656982421875
2019-04-16,181.3121337890625
2019-04-17,178.86659240722656
2019-04-18,179.90383911132812
2019-04-22,178.98077392578125
2019-04-23,179.50413513183594
2019-04-24,184.9566192626953
2019-04-25,183.8719024658203
2019-04-26,186.0889892578125
2019-04-29,185.2706756591797
2019-04-30,187.09767150878906
2019-05-01,184.5094451904297
2019-05-02,183.43414306640625
2019-05-03,186.92640686035156
2019-05-06,187.6876678466797
2019-05-07,183.3104248046875
2019-05-08,182.72044372558594
2019-05-09,179.73251342773438
2019-05-10,179.83718872070312
2019-05-13,174.62258911132812
2019-05-14,177.69618225097656
2019-05-15,177.61053466796875
2019-05-16,180.10365295410156
2019-05-17,177.39402770996094
2019-05-20,176.28729248046875
2019-05-21,179.09231567382812
2019-05-22,181.1531219482422
