,GRMN
2017-05-18,41.692291259765625
2017-05-19,41.87213897705078
2017-05-22,42.534297943115234
2017-05-23,42.24818420410156
2017-05-24,42.092864990234375
2017-05-25,42.57518005371094
2017-05-26,42.83678436279297
2017-05-30,42.599708557128906
2017-05-31,42.542484283447266
2017-06-01,43.114723205566406
2017-06-02,43.28639602661133
2017-06-05,43.80142593383789
2017-06-06,43.19646453857422
2017-06-07,42.41985321044922
2017-06-08,42.41985321044922
2017-06-09,42.41985321044922
2017-06-12,42.43620300292969
2017-06-13,42.19095993041992
2017-06-14,42.2808723449707
2017-06-15,42.685447692871094
2017-06-16,42.38821792602539
2017-06-19,42.75974655151367
2017-06-20,42.40472412109375
2017-06-21,42.24785614013672
2017-06-22,42.42949676513672
2017-06-23,42.33867645263672
2017-06-26,42.355194091796875
2017-06-27,41.752471923828125
2017-06-28,42.06620788574219
2017-06-29,42.05795669555664
2017-06-30,42.132259368896484
2017-07-03,42.784515380859375
2017-07-05,42.990928649902344
2017-07-06,42.09098434448242
2017-07-07,42.24785614013672
2017-07-10,41.496524810791016
2017-07-11,41.529541015625
2017-07-12,41.529541015625
2017-07-13,41.48001480102539
2017-07-14,41.529541015625
2017-07-17,41.777244567871094
2017-07-18,41.45524597167969
2017-07-19,42.65241622924805
2017-07-20,42.37995910644531
2017-07-21,42.59462356567383
2017-07-24,42.668941497802734
2017-07-25,43.3954963684082
2017-07-26,43.13954544067383
2017-07-27,42.83406066894531
2017-07-28,42.3716926574707
2017-07-31,41.43873977661133
2017-08-01,41.27360153198242
2017-08-02,43.114776611328125
2017-08-03,42.784515380859375
2017-08-04,42.83406066894531
2017-08-07,43.01568603515625
2017-08-08,42.734989166259766
2017-08-09,43.16432189941406
2017-08-10,42.34693145751953
2017-08-11,42.28087615966797
2017-08-14,42.76800537109375
2017-08-15,42.4377555847168
2017-08-16,42.83406066894531
2017-08-17,42.27262496948242
2017-08-18,42.24785614013672
2017-08-21,42.09098434448242
2017-08-22,42.685447692871094
2017-08-23,42.96617126464844
2017-08-24,43.08176040649414
2017-08-25,43.37071228027344
2017-08-28,42.97441864013672
2017-08-29,42.51206970214844
2017-08-30,42.710208892822266
2017-08-31,42.52031326293945
2017-09-01,42.784515380859375
2017-09-05,42.48728942871094
2017-09-06,43.02396011352539
2017-09-07,42.90010452270508
2017-09-08,43.14780044555664
2017-09-11,43.05698013305664
2017-09-12,42.9413948059082
2017-09-13,43.80855941772461
2017-09-14,43.616790771484375
2017-09-15,43.758522033691406
2017-09-18,43.76686096191406
2017-09-19,43.30826950073242
2017-09-20,43.50838851928711
2017-09-21,43.358299255371094
2017-09-22,43.70015335083008
2017-09-25,44.3588752746582
2017-09-26,44.759090423583984
2017-09-27,45.050941467285156
2017-09-28,45.05928039550781
2017-09-29,45.000911712646484
2017-10-02,45.159332275390625
2017-10-03,45.37612533569336
2017-10-04,45.667972564697266
2017-10-05,45.68463134765625
2017-10-06,44.884178161621094
2017-10-09,44.9592170715332
2017-10-10,45.24271774291992
2017-10-11,45.34278106689453
2017-10-12,45.60960006713867
2017-10-13,46.00148391723633
