,EA
2017-11-07,109.12523651123047
2017-11-08,111.51876068115234
2017-11-09,109.31085968017578
2017-11-10,110.15101623535156
2017-11-13,109.42810821533203
2017-11-14,109.68209838867188
2017-11-15,108.91031646728516
2017-11-16,109.02753448486328
2017-11-17,106.31160736083984
2017-11-20,105.1588134765625
2017-11-21,105.22721099853516
2017-11-22,104.84619903564453
2017-11-24,105.45188903808594
2017-11-27,104.5238037109375
2017-11-28,106.94664764404297
2017-11-29,103.05838012695312
2017-11-30,103.8985595703125
2017-12-01,103.57615661621094
2017-12-04,98.50580596923828
2017-12-05,100.99700164794922
2017-12-06,100.80164337158203
2017-12-07,101.9642105102539
2017-12-08,102.84344482421875
2017-12-11,105.43235778808594
2017-12-12,105.17838287353516
2017-12-13,103.10722351074219
2017-12-14,103.9669418334961
2017-12-15,106.76101684570312
2017-12-18,104.86572265625
2017-12-19,104.53357696533203
2017-12-20,105.95014953613281
2017-12-21,105.48121643066406
2017-12-22,103.57615661621094
2017-12-26,102.6383056640625
2017-12-27,102.80438232421875
2017-12-28,102.88252258300781
2017-12-29,102.6383056640625
2018-01-02,106.9271011352539
2018-01-03,107.22018432617188
2018-01-04,104.71917724609375
2018-01-05,109.79932403564453
2018-01-08,110.61019134521484
2018-01-09,109.59418487548828
2018-01-10,109.66255187988281
2018-01-11,109.41829681396484
2018-01-12,110.52227020263672
2018-01-16,109.34014892578125
2018-01-17,110.53203582763672
2018-01-18,112.6227035522461
2018-01-19,113.501953125
2018-01-22,115.27025604248047
2018-01-23,114.95761108398438
2018-01-24,112.01700592041016
2018-01-25,111.86067962646484
2018-01-26,112.54457092285156
2018-01-29,114.93809509277344
2018-01-30,115.9638671875
2018-01-31,124.03348541259766
2018-02-01,125.225341796875
2018-02-02,121.65948486328125
2018-02-05,118.83611297607422
2018-02-06,120.29175567626953
2018-02-07,120.21360778808594
2018-02-08,113.85366821289062
2018-02-09,117.85914611816406
2018-02-12,119.4027328491211
2018-02-13,119.46135711669922
2018-02-14,120.91699981689453
2018-02-15,123.56454467773438
2018-02-16,123.11514282226562
2018-02-20,123.42776489257812
2018-02-21,122.02095794677734
2018-02-22,121.7376480102539
2018-02-23,124.17024230957031
2018-02-26,125.60638427734375
