,HII
2019-04-09,187.8219451904297
2019-04-10,187.2484588623047
2019-04-11,191.92462158203125
2019-04-12,193.4686279296875
2019-04-15,193.37156677246094
2019-04-16,195.03024291992188
2019-04-17,194.0597381591797
2019-04-18,194.89791870117188
2019-04-22,193.3009796142578
2019-04-23,199.10647583007812
2019-04-24,198.81524658203125
2019-04-25,197.0330810546875
2019-04-26,195.46258544921875
2019-04-29,194.93321228027344
2019-04-30,196.38014221191406
2019-05-01,196.87423706054688
2019-05-02,183.18994140625
2019-05-03,187.072021484375
2019-05-06,185.8456268310547
2019-05-07,184.0016326904297
2019-05-08,182.5635223388672
2019-05-09,182.96937561035156
2019-05-10,183.99281311035156
2019-05-13,181.1165771484375
2019-05-14,181.52236938476562
2019-05-15,180.87828063964844
2019-05-16,184.16046142578125
2019-05-17,182.6341094970703
2019-05-20,185.23684692382812
2019-05-21,187.02786254882812
2019-05-22,185.29856872558594
2019-05-23,181.01080322265625
2019-05-24,182.09158325195312
2019-05-28,181.24996948242188
2019-05-29,181.07281494140625
2019-05-30,181.4891815185547
2019-05-31,181.71946716308594
2019-06-03,184.12034606933594
2019-06-04,187.0172576904297
2019-06-05,191.18991088867188
2019-06-06,190.1800079345703
2019-06-07,193.30728149414062
2019-06-10,190.23316955566406
2019-06-11,185.39605712890625
2019-06-12,186.8755645751953
2019-06-13,190.40145874023438
2019-06-14,190.28634643554688
2019-06-17,191.35826110839844
2019-06-18,194.15777587890625
2019-06-19,196.47889709472656
2019-06-20,199.11891174316406
2019-06-21,197.4711151123047
2019-06-24,197.2496337890625
2019-06-25,197.98492431640625
2019-06-26,197.8254852294922
2019-06-27,198.39242553710938
2019-06-28,199.10118103027344
2019-07-01,198.83541870117188
2019-07-02,203.1321258544922
2019-07-03,206.17971801757812
2019-07-05,204.2306671142578
2019-07-08,202.72459411621094
2019-07-09,204.8596954345703
2019-07-10,204.1066436767578
2019-07-11,206.16195678710938
2019-07-12,207.89834594726562
2019-07-15,208.05789184570312
2019-07-16,209.2095184326172
2019-07-17,204.95712280273438
2019-07-18,203.64598083496094
2019-07-19,203.7788543701172
2019-07-22,202.73348999023438
2019-07-23,204.02691650390625
2019-07-24,207.01242065429688
2019-07-25,206.74667358398438
2019-07-26,207.27821350097656
2019-07-29,207.17193603515625
2019-07-30,206.5428924560547
2019-07-31,202.2550506591797
2019-08-01,190.48126220703125
2019-08-02,182.66741943359375
2019-08-05,178.74281311035156
2019-08-06,182.58770751953125
2019-08-07,183.71279907226562
2019-08-08,187.92091369628906
2019-08-09,185.47579956054688
2019-08-12,180.6475372314453
2019-08-13,180.4969482421875
2019-08-14,177.90118408203125
2019-08-15,180.6829376220703
2019-08-16,183.22557067871094
2019-08-19,184.4835662841797
2019-08-20,183.83682250976562
2019-08-21,185.53781127929688
2019-08-22,184.7493438720703
2019-08-23,180.9664764404297
2019-08-26,181.27650451660156
2019-08-27,179.49583435058594
2019-08-28,180.55894470214844
2019-08-29,184.40231323242188
2019-08-30,185.94142150878906
2019-09-03,185.0873565673828
2019-09-04,185.54995727539062
2019-09-05,190.60333251953125
2019-09-06,191.2794952392578
2019-09-09,191.67984008789062
2019-09-10,193.84170532226562
2019-09-11,196.06594848632812
2019-09-12,192.87200927734375
2019-09-13,194.22430419921875
2019-09-16,198.0943603515625
2019-09-17,196.68869018554688
2019-09-18,195.4609375
2019-09-19,194.3577423095703
2019-09-20,191.1193389892578
2019-09-23,188.9129638671875
2019-09-24,189.1798553466797
2019-09-25,190.16738891601562
2019-09-26,190.62109375
2019-09-27,189.8470916748047
2019-09-30,188.42361450195312
2019-10-01,183.6905517578125
2019-10-02,178.07676696777344
2019-10-03,180.54115295410156
2019-10-04,182.3649444580078
2019-10-07,182.87205505371094
2019-10-08,180.83470153808594
2019-10-09,182.94326782226562
2019-10-10,185.57667541503906
2019-10-11,188.37918090820312
2019-10-14,189.0286102294922
2019-10-15,189.66917419433594
2019-10-16,191.2883758544922
2019-10-17,188.3880615234375
2019-10-18,186.9200897216797
2019-10-21,187.72967529296875
2019-10-22,191.4218292236328
2019-10-23,193.20114135742188
2019-10-24,196.36842346191406
2019-10-25,196.78656005859375
2019-10-28,198.1210479736328
2019-10-29,198.01429748535156
