,BALL
2023-08-28,51.45249938964844
2023-08-29,52.795677185058594
2023-08-30,53.34471893310547
2023-08-31,53.58088684082031
2023-09-01,54.05322265625
2023-09-05,52.833011627197266
2023-09-06,52.08515167236328
2023-09-07,50.47132873535156
2023-09-08,51.2585563659668
2023-09-11,51.17982864379883
2023-09-12,51.05190658569336
2023-09-13,50.06787109375
2023-09-14,51.74073791503906
2023-09-15,50.8551025390625
2023-09-18,50.63861083984375
2023-09-19,49.74313735961914
2023-09-20,51.13063049316406
2023-09-21,49.59553527832031
2023-09-22,48.74925994873047
2023-09-25,48.50325012207031
2023-09-26,47.381446838378906
2023-09-27,47.46017074584961
2023-09-28,47.401123046875
2023-09-29,48.98542785644531
2023-10-02,48.473724365234375
2023-10-03,47.95219039916992
2023-10-04,48.48357009887695
2023-10-05,46.95831298828125
2023-10-06,45.3936882019043
2023-10-09,45.20671844482422
2023-10-10,45.51177978515625
2023-10-11,45.255924224853516
